firstname,lastname,nickname,height,weight,reach,stance,wins,losses,draws,belt
"Makwan","Amirkhani","Mr. Finland","5' 10""","145 lbs.","72.0""","Southpaw","16","6","0","false"
"Sam","Adkins","The Experience","6' 3""","225 lbs.","","Orthodox","7","20","2","false"
"Abu","Azaitar","Captain Morocco","5' 9""","185 lbs.","76.0""","Orthodox","14","3","1","false"
"Megan","Anderson","","6' 0""","145 lbs.","72.0""","Orthodox","11","5","0","false"
"Sarah","Alpar","Too Sweet","5' 4""","135 lbs.","63.0""","Southpaw","9","5","0","false"
"Yoshihiro","Akiyama","","5' 10""","170 lbs.","75.0""","Orthodox","14","6","0","false"
"Klidson","Abreu","White Bear","6' 0""","205 lbs.","74.0""","Orthodox","15","4","0","false"
"Edwin","Aguilar","Tigre","5' 10""","185 lbs.","","","26","19","0","false"
"Chris","Amarante","","","185 lbs.","","","2","0","0","false"
"Zarrukh","Adashev","The Lion","5' 5""","125 lbs.","65.0""","Southpaw","3","3","0","false"
"Herdem","Alacabek","","6' 2""","205 lbs.","75.0""","Orthodox","5","1","0","false"
"Estefani","Almeida","","5' 4""","125 lbs.","","Orthodox","7","3","0","false"
"Jailton","Almeida","Gafanhoto Destruidor","5' 2""","135 lbs.","","","0","0","0","false"
"Hector","Aldana","","5' 11""","170 lbs.","72.0""","Orthodox","4","3","0","false"
"Rico","Altamirano","","5' 10""","170 lbs.","","","4","3","0","false"
"Angelo","Antonio","","","205 lbs.","","Orthodox","1","4","0","false"
"Mariya","Agapova","","5' 6""","125 lbs.","68.0""","Southpaw","9","2","0","false"
"George","Allen","","6' 2""","205 lbs.","","Open Stance","13","19","2","false"
"JJ","Ambrose","","5' 10""","170 lbs.","","Orthodox","28","7","0","false"
"Pat","Audinwood","Awesomely Awesome","6' 0""","155 lbs.","","Orthodox","11","2","1","false"
"Mostapha","Al-Turk","","6' 2""","245 lbs.","77.0""","Orthodox","6","6","0","false"
"Akbarh","Arreola","El Caballero","5' 10""","155 lbs.","71.0""","Southpaw","23","11","1","false"
"Rafael","Alves","The Turn","5' 8""","155 lbs.","68.0""","Orthodox","19","10","0","false"
"Daniel","Acacio","","5' 8""","180 lbs.","","Orthodox","30","18","0","false"
"Romie","Aram","","5' 10""","170 lbs.","","Orthodox","7","1","0","false"
"Bill","Algeo","Senor Perfecto","6' 0""","145 lbs.","73.0""","Switch","14","6","0","false"
"Tristan","Arenal","","","155 lbs.","","","7","4","0","false"
"Houston","Alexander","The Assassin","6' 0""","205 lbs.","72.0""","Orthodox","17","15","1","false"
"Matt","Andersen","","6' 2""","230 lbs.","","Southpaw","14","8","1","false"
"Joey","Armstrong","","","","","","5","2","0","false"
"Jimmy","Ambriz","The Titan","6' 2""","315 lbs.","","Southpaw","17","21","1","false"
"Magno","Almeida","","6' 0""","155 lbs.","","","10","3","0","false"
"Brendan","Allen","All In","6' 2""","185 lbs.","75.0""","Orthodox","17","4","0","false"
"Levi","Avera","","6' 1""","170 lbs.","","","18","15","0","false"
"Julia","Avila","Raging Panda","5' 7""","135 lbs.","68.0""","Orthodox","9","2","0","false"
"Olaf","Alfonso","","6' 2""","170 lbs.","","Orthodox","8","12","0","false"
"Reese","Andy","Riptide","6' 0""","205 lbs.","","Orthodox","7","3","0","false"
"Marcelo","Aguiar","","5' 10""","170 lbs.","","Orthodox","2","3","1","false"
"Luiz","Azeredo","","5' 9""","154 lbs.","","Orthodox","15","10","0","false"
"Daichi","Abe","","5' 11""","170 lbs.","71.0""","Orthodox","6","2","0","false"
"Rostem","Akman","","5' 10""","170 lbs.","72.0""","Switch","6","2","0","false"
"Yoji","Anjo","Mr. 200%","5' 11""","205 lbs.","","Orthodox","0","5","1","false"
"Ibo","Aslan","The Last Ottoman","6' 3""","205 lbs.","","","8","0","0","false"
"Jose","Aldo","","5' 7""","135 lbs.","70.0""","Orthodox","29","7","0","false"
"Adam","Antolin","Captain Chaos","5' 5""","125 lbs.","63.0""","Orthodox","12","3","0","false"
"Levi","Alford","","","","","","1","7","0","false"
"Ali","AlQaisi","The Royal Fighter","5' 6""","135 lbs.","68.0""","Orthodox","8","5","0","false"
"Iuri","Alcantara","Marajo","5' 9""","135 lbs.","71.0""","Southpaw","35","10","0","false"
"Dylan","Andrews","The Villain","6' 1""","185 lbs.","74.0""","Switch","18","7","0","false"
"Askar","Askar","AK-47","5' 7""","145 lbs.","69.0""","Orthodox","11","1","0","false"
"Ben","Askren","Funky","5' 11""","170 lbs.","73.0""","Orthodox","19","2","0","false"
"Lucas","Almeida","","5' 11""","155 lbs.","","","12","0","0","false"
"Antonio","Arroyo","","6' 3""","185 lbs.","73.0""","Orthodox","9","4","0","false"
"Kenneth","Alexander","The Machine","5' 9""","155 lbs.","","Orthodox","7","6","0","false"
"Omari","Akhmedov","Wolverine","6' 0""","185 lbs.","73.0""","Orthodox","21","6","1","false"
"Danny","Abbadi","The Assassin","5' 11""","155 lbs.","","Orthodox","4","6","0","false"
"David","Abbott","Tank","6' 0""","265 lbs.","","Switch","10","15","0","false"
"Tom","Aaron","","","155 lbs.","","","5","3","0","false"
"Bertrand","Amoussou","","5' 8""","190 lbs.","","Orthodox","1","1","0","false"
"Askar","Askarov","Bullet","5' 6""","125 lbs.","67.0""","Orthodox","13","0","1","false"
"Bazigit","Atajev","Volk","6' 1""","230 lbs.","","Orthodox","17","1","0","false"
"Eddie","Alvarez","","5' 9""","155 lbs.","69.0""","Orthodox","29","6","0","false"
"Jessin","Ayari","","6' 0""","155 lbs.","73.0""","Orthodox","16","6","0","false"
"Anthony","Adams","Sugafoot","6' 1""","185 lbs.","76.0""","Orthodox","8","2","0","false"
"Juan","Adams","The Kraken","6' 5""","265 lbs.","80.0""","Orthodox","5","3","0","false"
"Art","Arciniega","King Arthur","5' 8""","145 lbs.","","","15","7","0","false"
"Ottman","Azaitar","Bulldozer","5' 8""","155 lbs.","71.0""","Switch","13","0","0","false"
"Aleksandra","Albu","Stitch","5' 2""","115 lbs.","63.0""","Orthodox","3","2","0","false"
"Bruno","Assis","Brunao","6' 2""","185 lbs.","","Orthodox","8","4","0","false"
"Felipe","Arantes","Sertanejo","5' 8""","135 lbs.","73.0""","Orthodox","18","10","1","false"
"Julio","Arce","","5' 7""","145 lbs.","70.0""","Southpaw","17","4","0","false"
"Alen","Amedovski","","5' 10""","185 lbs.","74.0""","Orthodox","8","2","0","false"
"Tom","Aspinall","","6' 5""","256 lbs.","78.0""","Orthodox","10","2","0","false"
"Hitomi","Akano","Girlfight Monster","5' 4""","135 lbs.","","Southpaw","18","10","0","false"
"Brett","Albee","","","225 lbs.","","","3","2","0","false"
"Anthony","Avila","","5' 7""","145 lbs.","","","13","5","0","false"
"Austin","Arnett","","6' 0""","145 lbs.","72.0""","Orthodox","16","6","0","false"
"Sean","Alvarez","","6' 0""","235 lbs.","","Orthodox","4","3","0","false"
"Collin","Anglin","","5' 9""","145 lbs.","71.0""","Orthodox","8","1","0","false"
"Mauricio","Alonso","","6' 2""","170 lbs.","","","13","7","0","false"
"Arman","Ashimov","Mustafa Ozturik","5' 6""","125 lbs.","","","11","3","1","false"
"David","Avellan","","5' 9""","185 lbs.","","Orthodox","2","1","0","false"
"Pablo","Alfonso","The Hurricane","5' 8""","145 lbs.","","","9","7","0","false"
"Gadzhimurad","Antigulov","","5' 11""","205 lbs.","70.0""","Orthodox","20","8","0","false"
"Warlley","Alves","","5' 11""","170 lbs.","72.0""","Orthodox","15","5","0","false"
"Corey","Anderson","Overtime","6' 3""","205 lbs.","79.0""","Orthodox","14","5","0","false"
"Eryk","Anders","Ya Boi","6' 1""","185 lbs.","75.0""","Southpaw","14","5","0","false"
"Maiara","Amanajas dos Santos","","5' 5""","115 lbs.","","Southpaw","7","3","0","false"
"Papy","Abedi","Makambo","5' 11""","185 lbs.","","Southpaw","10","4","0","false"
"Adlan","Amagov","Borz","6' 2""","170 lbs.","76.0""","Orthodox","14","2","1","false"
"Hiroyuki","Abe","Abe Ani","5' 6""","145 lbs.","","Orthodox","8","15","3","false"
"Marcio","Alexandre Junior","Lyoto","6' 0""","185 lbs.","75.0""","Southpaw","17","4","0","false"
"Irene","Aldana","","5' 9""","135 lbs.","68.0""","Orthodox","13","6","0","false"
"Ricardo","Arona","The Brazilian Tiger","5' 11""","205 lbs.","","Orthodox","14","5","0","false"
"Chris","Avila","","5' 10""","145 lbs.","","Orthodox","5","4","0","false"
"Viscardi","Andrade","","5' 11""","170 lbs.","75.0""","Orthodox","19","6","0","false"
"Jessica","Aguilar","Jag","5' 3""","115 lbs.","63.0""","Orthodox","20","8","0","false"
"Andy","Anderson","The Hammer","5' 6""","240 lbs.","","","0","1","0","false"
"Joel","Alvarez","El Fenomeno","6' 3""","155 lbs.","77.0""","Orthodox","18","2","0","false"
"Azunna","Anyanwu","Zulu","6' 1""","251 lbs.","","Orthodox","14","5","0","false"
"Raphael","Assuncao","","5' 5""","135 lbs.","66.0""","Orthodox","27","8","0","false"
"Scott","Adams","","6' 0""","225 lbs.","","Southpaw","8","1","0","false"
"Cyril","Asker","Silverback","6' 0""","247 lbs.","74.0""","Orthodox","9","4","0","false"
"Jaime","Alvarez","","5' 8""","125 lbs.","69.0""","Orthodox","6","1","0","false"
"Hunter","Azure","","5' 8""","145 lbs.","69.0""","Orthodox","9","2","0","false"
"Thiago","Alves","Pitbull","5' 9""","170 lbs.","70.0""","Orthodox","23","15","0","false"
"Julius","Anglickas","","6' 3""","205 lbs.","","Orthodox","5","1","0","false"
"Saad","Awad","Assassin","5' 11""","155 lbs.","","","20","9","0","false"
"Kevin","Aguilar","Angel of Death","5' 7""","155 lbs.","73.0""","Orthodox","17","5","0","false"
"Aori","Qileng","The Mongolian Murderer","5' 7""","125 lbs.","69.0""","Orthodox","18","7","0","false"
"Igor","Araujo","","6' 1""","170 lbs.","77.0""","Orthodox","25","9","0","false"
"Alfonso","Alcarez","","5' 3""","145 lbs.","","","1","3","1","false"
"Jim","Alers","The Beast","5' 9""","145 lbs.","71.0""","Orthodox","13","3","0","false"
"Jose","Augusto","Gugu","6' 3""","251 lbs.","","","6","2","0","false"
"Andre","Amado","Dida","6' 0""","154 lbs.","","Orthodox","6","4","1","false"
"Andrei","Arlovski","The Pitbull","6' 3""","240 lbs.","77.0""","Orthodox","31","20","0","false"
"Shinya","Aoki","Tobikan Judan","5' 11""","154 lbs.","","Southpaw","39","7","0","false"
"Lowell","Anderson","","5' 6""","160 lbs.","","Orthodox","0","1","0","false"
"Shinsho","Anzai","Animal","5' 7""","170 lbs.","70.0""","Orthodox","10","3","0","false"
"Josh","Appelt","","5' 10""","255 lbs.","","Southpaw","15","7","0","false"
"Khusein","Askhabov","Lion","5' 8""","145 lbs.","","","23","0","0","false"
"Christian","Aguilera","The Beast","5' 9""","170 lbs.","72.0""","Switch","14","8","0","false"
"Chalid","Arrab","Die Faust","5' 11""","205 lbs.","","Orthodox","7","3","0","false"
"Royce","Alger","","5' 10""","199 lbs.","","Orthodox","3","2","0","false"
"Fabio","Aguiar","","6' 0""","185 lbs.","","","17","1","0","false"
"Javy","Ayala","Eye Candy","6' 1""","265 lbs.","","","10","5","0","false"
"JJ","Aldrich","","5' 5""","125 lbs.","67.0""","Southpaw","9","4","0","false"
"Mike","Altman","","5' 10""","185 lbs.","","Orthodox","1","4","0","false"
"Arnold","Allen","Almighty","5' 8""","145 lbs.","70.0""","Southpaw","17","1","0","false"
"Sultan","Aliev","","5' 11""","170 lbs.","74.0""","Orthodox","15","3","0","false"
"Blas","Avena","The Disciple","6' 0""","170 lbs.","74.0""","Orthodox","8","7","0","false"
"Marcus","Aurelio","Maximus","5' 10""","155 lbs.","74.0""","Orthodox","22","10","0","false"
"Amir","Aliakbari","","6' 3""","250 lbs.","","","10","1","0","false"
"Jessica","Andrade","Bate Estaca","5' 1""","115 lbs.","62.0""","Orthodox","21","9","0","false"
"Gilles","Arsene","","5' 9""","190 lbs.","","Southpaw","1","1","0","false"
"Ricardo","Almeida","Big Dog","6' 0""","170 lbs.","74.0""","Orthodox","13","5","0","false"
"Scott","Askham","","6' 3""","185 lbs.","75.0""","Southpaw","14","4","0","false"
"Junior","Assuncao","","5' 9""","145 lbs.","72.0""","Orthodox","16","6","0","false"
"Erik","Apple","","6' 0""","170 lbs.","","Orthodox","10","3","0","false"
"Israel","Adesanya","The Last Stylebender","6' 4""","185 lbs.","80.0""","Switch","21","1","0","true"
"Ericka","Almeida","","5' 6""","115 lbs.","","Orthodox","7","3","0","false"
"Derek","Anderson","Barbaric","6' 0""","155 lbs.","","","14","3","0","false"
"Kenji","Arai","","5' 10""","145 lbs.","","Southpaw","15","15","5","false"
"Gilbert","Aldana","El Peligro","6' 1""","250 lbs.","","Orthodox","6","2","0","false"
"Javi","Alanis","","5' 6""","135 lbs.","","","0","4","0","false"
"Matt","Arroyo","No Regard","5' 10""","170 lbs.","72.0""","Orthodox","3","3","0","false"
"Razak","Al-Hassan","","6' 2""","205 lbs.","","Orthodox","13","5","0","false"
"Wes","Albritton","","5' 10""","188 lbs.","","Orthodox","0","1","0","false"
"Hashem","Arkhagha","Cavaca","6' 2""","185 lbs.","","","6","0","0","false"
"Junior","Albini","Baby","6' 3""","264 lbs.","74.0""","Orthodox","14","6","0","false"
"Victor","Altamirano","El Magnifico","5' 6""","125 lbs.","","","9","1","0","false"
"Karl","Amoussou","The Psycho","5' 11""","185 lbs.","","Orthodox","27","7","2","false"
"John","Allan","","6' 1""","205 lbs.","75.0""","Orthodox","13","6","0","false"
"Amilcar","Alves","","6' 0""","170 lbs.","","Southpaw","15","12","0","false"
"Magomed","Ankalaev","","6' 3""","205 lbs.","75.0""","Orthodox","15","1","0","false"
