web-scraper-order,web-scraper-start-url,First,Last,Nickname,Height,Weight,Reach,Stance,Wins,Losses,Draws,Belt
"1627319731-11176","http://ufcstats.com/statistics/fighters?char=b&page=all","Shayna","Baszler","The Queen of Spades","5' 7""","135 lbs.","--","Orthodox","15","11","0",""
"1627319731-11171","http://ufcstats.com/statistics/fighters?char=b&page=all","Enrique","Barzola","El Fuerte","5' 7""","145 lbs.","70.0""","Orthodox","17","5","2",""
"1627319731-11198","http://ufcstats.com/statistics/fighters?char=b&page=all","Dave","Beneteau","Dangerous","6' 2""","250 lbs.","--","Orthodox","6","5","1",""
"1627319731-11266","http://ufcstats.com/statistics/fighters?char=b&page=all","Luc","Bondole","","6' 2""","205 lbs.","--","","5","2","2",""
"1627319731-11303","http://ufcstats.com/statistics/fighters?char=b&page=all","Michael","Bravo","","--","155 lbs.","--","","7","4","0",""
"1627319731-11140","http://ufcstats.com/statistics/fighters?char=b&page=all","Humberto","Bandenay","","5' 11""","145 lbs.","71.0""","Southpaw","14","7","0",""
"1627319731-11354","http://ufcstats.com/statistics/fighters?char=b&page=all","Mike","Budnik","","5' 9""","145 lbs.","68.0""","Orthodox","13","4","0",""
"1627319731-11216","http://ufcstats.com/statistics/fighters?char=b&page=all","Dave","Berry","","--","--","--","","0","1","0",""
"1627319731-11154","http://ufcstats.com/statistics/fighters?char=b&page=all","Shonte","Barnes","Shyne","6' 0""","185 lbs.","--","","5","1","1",""
"1627319731-11230","http://ufcstats.com/statistics/fighters?char=b&page=all","Jeremiah","Billington","","5' 9""","205 lbs.","--","Orthodox","11","2","0",""
"1627319731-11161","http://ufcstats.com/statistics/fighters?char=b&page=all","Carlos","Barreto","","6' 4""","230 lbs.","--","Orthodox","14","9","0",""
"1627319731-11383","http://ufcstats.com/statistics/fighters?char=b&page=all","Ian","Butler","","5' 8""","155 lbs.","--","","3","3","0",""
"1627319731-11210","http://ufcstats.com/statistics/fighters?char=b&page=all","Kenneth","Bergh","","6' 2""","205 lbs.","74.0""","Orthodox","8","0","0",""
"1627319731-11301","http://ufcstats.com/statistics/fighters?char=b&page=all","David","Branch","","6' 1""","185 lbs.","78.0""","Orthodox","22","6","0",""
"1627319731-11156","http://ufcstats.com/statistics/fighters?char=b&page=all","Chris","Barnett","Beastboy","5' 9""","265 lbs.","75.0""","Orthodox","21","7","0",""
"1627319731-11312","http://ufcstats.com/statistics/fighters?char=b&page=all","Jason","Brilz","Hitman","5' 11""","205 lbs.","71.0""","Orthodox","22","6","1",""
"1627319731-11306","http://ufcstats.com/statistics/fighters?char=b&page=all","Tom","Breese","","6' 3""","185 lbs.","73.0""","Southpaw","12","3","0",""
"1627319731-11261","http://ufcstats.com/statistics/fighters?char=b&page=all","Jerry","Bohlander","","5' 11""","199 lbs.","--","Orthodox","11","4","0",""
