web-scraper-order,web-scraper-start-url,First,Last,Nickname,Height,Weight,Reach,Stance,Wins,Losses,Draws,Belt
"1627320155-11558","http://ufcstats.com/statistics/fighters?char=c&page=all","Chris","Condo","","6' 0""","335 lbs.","--","Orthodox","0","1","0",""
"1627320155-11406","http://ufcstats.com/statistics/fighters?char=c&page=all","Chris","Camozzi","","6' 2""","185 lbs.","75.0""","Orthodox","24","13","0",""
"1627320155-11611","http://ufcstats.com/statistics/fighters?char=c&page=all","Paul","Creighton","","5' 6""","155 lbs.","--","Southpaw","3","1","0",""
"1627320155-11469","http://ufcstats.com/statistics/fighters?char=c&page=all","Gil","Castillo","","5' 9""","170 lbs.","--","Southpaw","8","5","0",""
"1627320155-11520","http://ufcstats.com/statistics/fighters?char=c&page=all","Branko","Cikatic","","6' 1""","215 lbs.","--","Orthodox","0","2","0",""
"1627320155-11547","http://ufcstats.com/statistics/fighters?char=c&page=all","Devin","Cole","","6' 4""","240 lbs.","--","Orthodox","20","10","1",""
"1627320155-11608","http://ufcstats.com/statistics/fighters?char=c&page=all","Dan","Cramer","","6' 2""","170 lbs.","--","Orthodox","11","4","0",""
"1627320155-11621","http://ufcstats.com/statistics/fighters?char=c&page=all","Marcio","Cruz","Pe de Pano","6' 4""","232 lbs.","--","Orthodox","8","3","0",""
"1627320155-11473","http://ufcstats.com/statistics/fighters?char=c&page=all","Tim","Catalfo","Obake","5' 11""","235 lbs.","--","Orthodox","4","2","0",""
"1627320155-11404","http://ufcstats.com/statistics/fighters?char=c&page=all","Frank","Camacho","The Crank","5' 10""","170 lbs.","73.0""","Orthodox","22","9","0",""
"1627320155-11623","http://ufcstats.com/statistics/fighters?char=c&page=all","Aalon","Cruz","","6' 0""","145 lbs.","78.0""","Switch","8","4","0",""
"1627320155-11519","http://ufcstats.com/statistics/fighters?char=c&page=all","Hannah","Cifers","Shockwave","5' 1""","115 lbs.","62.0""","Orthodox","10","7","0",""
"1627320155-11499","http://ufcstats.com/statistics/fighters?char=c&page=all","Macy","Chiasson","","5' 11""","135 lbs.","72.0""","Orthodox","8","1","0",""
"1627320155-11415","http://ufcstats.com/statistics/fighters?char=c&page=all","Will","Campuzano","","5' 9""","125 lbs.","70.0""","Orthodox","14","6","0",""
"1627320155-11461","http://ufcstats.com/statistics/fighters?char=c&page=all","Kevin","Casey","King","5' 11""","185 lbs.","77.0""","Southpaw","9","5","2",""
"1627320155-11619","http://ufcstats.com/statistics/fighters?char=c&page=all","Richard","Crunkilton","Cleat","5' 7""","155 lbs.","--","Orthodox","19","4","0",""
"1627320155-11618","http://ufcstats.com/statistics/fighters?char=c&page=all","Daron","Cruickshank","Detroit Superstar","5' 8""","155 lbs.","72.0""","Switch","18","10","0",""
