web-scraper-order,web-scraper-start-url,First,Last,Nickname,Height,Weight,Reach,Stance,Wins,Losses,Draws,Belt
"1627321765-11759","http://ufcstats.com/statistics/fighters?char=d&page=all","John","Dodson","The Magician","5' 3""","135 lbs.","66.0""","Orthodox","22","12","0",""
"1627321765-11796","http://ufcstats.com/statistics/fighters?char=d&page=all","Joe","Duffy","Irish","5' 10""","155 lbs.","73.0""","Orthodox","16","5","0",""
"1627321765-11737","http://ufcstats.com/statistics/fighters?char=d&page=all","Nate","Diaz","","6' 0""","170 lbs.","76.0""","Southpaw","21","13","0",""
"1627321765-11809","http://ufcstats.com/statistics/fighters?char=d&page=all","Rilley","Dutro","","5' 8""","125 lbs.","--","Orthodox","11","4","0",""
"1627321765-11687","http://ufcstats.com/statistics/fighters?char=d&page=all","Geraldo","de Freitas","Spartan","5' 7""","135 lbs.","72.0""","Orthodox","12","6","0",""
"1627321765-11811","http://ufcstats.com/statistics/fighters?char=d&page=all","Merab","Dvalishvili","The Machine","5' 6""","135 lbs.","68.0""","Orthodox","13","4","0",""
"1627321765-11695","http://ufcstats.com/statistics/fighters?char=d&page=all","Johil","de Oliveira","","5' 6""","170 lbs.","--","Orthodox","17","15","1",""
"1627321765-11726","http://ufcstats.com/statistics/fighters?char=d&page=all","Edwin","DeWees","Babyface","6' 1""","185 lbs.","--","Orthodox","38","17","0",""
"1627321765-11793","http://ufcstats.com/statistics/fighters?char=d&page=all","Milana","Dudieva","","5' 3""","135 lbs.","--","Orthodox","11","6","0",""
"1627321765-11644","http://ufcstats.com/statistics/fighters?char=d&page=all","Henrique","da Silva","Frankenstein","6' 3""","205 lbs.","76.0""","Orthodox","14","5","0",""
"1627321765-11647","http://ufcstats.com/statistics/fighters?char=d&page=all","Nicolas","Dalby","Danish Dynamite","5' 11""","170 lbs.","74.0""","Orthodox","19","4","1",""
"1627321765-11747","http://ufcstats.com/statistics/fighters?char=d&page=all","Drew","Dimanlig","","--","185 lbs.","--","","3","4","0",""
"1627321765-11683","http://ufcstats.com/statistics/fighters?char=d&page=all","Jason","Day","Dooms","6' 0""","185 lbs.","72.0""","Orthodox","19","12","0",""
"1627321765-11690","http://ufcstats.com/statistics/fighters?char=d&page=all","Montana","De La Rosa","","5' 7""","125 lbs.","68.0""","Orthodox","12","6","1",""
"1627321765-11654","http://ufcstats.com/statistics/fighters?char=d&page=all","Rodrigo","Damm","","5' 7""","155 lbs.","71.0""","Orthodox","13","9","0",""
"1627321765-11803","http://ufcstats.com/statistics/fighters?char=d&page=all","Alex","Dunworth","","5' 8""","155 lbs.","--","","2","2","0",""
"1627321765-11757","http://ufcstats.com/statistics/fighters?char=d&page=all","AJ","Dobson","","6' 2""","170 lbs.","--","","5","0","0",""
"1627321765-11785","http://ufcstats.com/statistics/fighters?char=d&page=all","Kyle","Driscoll","KD","5' 11""","145 lbs.","74.0""","Orthodox","12","3","0",""
"1627321765-11769","http://ufcstats.com/statistics/fighters?char=d&page=all","Houston","Dorr","","6' 1""","210 lbs.","--","Orthodox","1","2","0",""
"1627321765-11762","http://ufcstats.com/statistics/fighters?char=d&page=all","Roman","Dolidze","","6' 2""","205 lbs.","76.0""","Orthodox","9","1","0",""
"1627321765-11742","http://ufcstats.com/statistics/fighters?char=d&page=all","Josh","Diekmann","The Freight Train","5' 4""","246 lbs.","--","","15","8","0",""
"1627321765-11700","http://ufcstats.com/statistics/fighters?char=d&page=all","Germaine","de Randamie","The Iron Lady","5' 9""","135 lbs.","71.0""","Orthodox","10","4","0",""
"1627321765-11652","http://ufcstats.com/statistics/fighters?char=d&page=all","Marko","Damiani","","6' 0""","170 lbs.","--","","0","2","0",""
"1627321765-11648","http://ufcstats.com/statistics/fighters?char=d&page=all","Paul","Daley","Semtex","5' 9""","170 lbs.","76.0""","Orthodox","39","15","2",""
