web-scraper-order,web-scraper-start-url,First,Last,Nickname,Height,Weight,Reach,Stance,Wins,Losses,Draws,Belt
"1627321823-11893","http://ufcstats.com/statistics/fighters?char=e&page=all","Andre","Ewell","Mr. Highlight","5' 8""","135 lbs.","75.0""","Southpaw","17","8","0",""
"1627321823-11846","http://ufcstats.com/statistics/fighters?char=e&page=all","Eddy","Ellis","Fast","5' 9""","170 lbs.","--","Orthodox","21","16","1",""
"1627321823-11889","http://ufcstats.com/statistics/fighters?char=e&page=all","Ashlee","Evans-Smith","Rebel Girl","5' 8""","135 lbs.","67.0""","Orthodox","6","5","0",""
"1627321823-11815","http://ufcstats.com/statistics/fighters?char=e&page=all","","null","null","null","null","null","null","null","null","null","null"
"1627321823-11822","http://ufcstats.com/statistics/fighters?char=e&page=all","Ross","Ebanez","The Boss","5' 9""","154 lbs.","--","Southpaw","20","10","0",""
"1627321823-11831","http://ufcstats.com/statistics/fighters?char=e&page=all","Te","Edwards","","5' 8""","155 lbs.","72.0""","Orthodox","6","3","0",""
"1627321823-11844","http://ufcstats.com/statistics/fighters?char=e&page=all","Joe","Ellenberger","Excalibur","5' 9""","155 lbs.","72.0""","Orthodox","15","2","0",""
"1627321823-11886","http://ufcstats.com/statistics/fighters?char=e&page=all","Billy","Evangelista","","5' 8""","155 lbs.","68.0""","Orthodox","13","3","0",""
"1627321823-11891","http://ufcstats.com/statistics/fighters?char=e&page=all","Tonya","Evinger","Triple Threat","5' 7""","135 lbs.","70.0""","Orthodox","19","8","0",""
"1627321823-11848","http://ufcstats.com/statistics/fighters?char=e&page=all","Anna","Elmose","Panda","5' 3""","115 lbs.","--","Orthodox","3","2","0",""
"1627321823-11857","http://ufcstats.com/statistics/fighters?char=e&page=all","Josh","Emmett","","5' 6""","145 lbs.","70.0""","Orthodox","16","2","0",""
"1627321823-11887","http://ufcstats.com/statistics/fighters?char=e&page=all","Rashad","Evans","Suga","6' 0""","205 lbs.","75.0""","Orthodox","19","8","1",""
"1627321823-11845","http://ufcstats.com/statistics/fighters?char=e&page=all","Tim","Elliott","","5' 7""","125 lbs.","66.0""","Southpaw","18","11","1",""
"1627321823-11863","http://ufcstats.com/statistics/fighters?char=e&page=all","Ian","Entwistle","Enty","5' 5""","135 lbs.","--","Orthodox","9","3","0",""
"1627321823-11828","http://ufcstats.com/statistics/fighters?char=e&page=all","Yves","Edwards","","5' 9""","155 lbs.","73.0""","Southpaw","42","22","1",""
"1627321823-11851","http://ufcstats.com/statistics/fighters?char=e&page=all","Sovannahry","Em","The Sweet Savage","5' 4""","135 lbs.","--","","3","1","0",""
"1627321823-11843","http://ufcstats.com/statistics/fighters?char=e&page=all","Jake","Ellenberger","The Juggernaut","5' 9""","170 lbs.","71.0""","Orthodox","31","15","0",""
"1627321823-11827","http://ufcstats.com/statistics/fighters?char=e&page=all","Johnny","Eduardo","","5' 7""","135 lbs.","71.0""","Orthodox","28","12","0",""
"1627321823-11840","http://ufcstats.com/statistics/fighters?char=e&page=all","John Paul","Elias","","6' 4""","205 lbs.","--","","3","1","0",""
"1627321823-11850","http://ufcstats.com/statistics/fighters?char=e&page=all","Aaron","Ely","The Cyborg","5' 8""","135 lbs.","--","","5","2","0",""
"1627321823-11868","http://ufcstats.com/statistics/fighters?char=e&page=all","Konstantin","Erokhin","","5' 11""","230 lbs.","--","Orthodox","9","3","0",""
