web-scraper-order,web-scraper-start-url,First,Last,Nickname,Height,Weight,Reach,Stance,Wins,Losses,Draws,Belt
"1627321962-11911","http://ufcstats.com/statistics/fighters?char=f&page=all","Chance","Farrar","","5' 9""","145 lbs.","--","Southpaw","8","3","0",""
"1627321962-12010","http://ufcstats.com/statistics/fighters?char=f&page=all","Travis","Fulton","The Ironman","6' 0""","240 lbs.","--","Orthodox","253","53","10",""
"1627321962-11943","http://ufcstats.com/statistics/fighters?char=f&page=all","Luigi","Fioravanti","","5' 8""","170 lbs.","70.0""","Orthodox","26","15","0",""
"1627321962-11898","http://ufcstats.com/statistics/fighters?char=f&page=all","Urijah","Faber","The California Kid","5' 6""","135 lbs.","67.0""","Orthodox","35","11","0",""
"1627321962-11931","http://ufcstats.com/statistics/fighters?char=f&page=all","Scott","Fiedler","","6' 4""","235 lbs.","--","Orthodox","0","1","0",""
"1627321962-12013","http://ufcstats.com/statistics/fighters?char=f&page=all","Ricardo","Funch","Golden Boy","5' 10""","170 lbs.","74.0""","Southpaw","9","6","0",""
"1627321962-11897","http://ufcstats.com/statistics/fighters?char=f&page=all","Edward","Faaloloto","","--","155 lbs.","70.0""","","2","5","0",""
"1627321962-11944","http://ufcstats.com/statistics/fighters?char=f&page=all","Manon","Fiorot","The Beast","5' 7""","125 lbs.","65.0""","Orthodox","7","1","0",""
"1627321962-11933","http://ufcstats.com/statistics/fighters?char=f&page=all","Deiveson","Figueiredo","Deus da Guerra","5' 5""","125 lbs.","68.0""","Orthodox","20","2","1",""
"1627321962-11910","http://ufcstats.com/statistics/fighters?char=f&page=all","Kalindra","Faria","","5' 7""","125 lbs.","--","Switch","18","8","1",""
"1627321962-11906","http://ufcstats.com/statistics/fighters?char=f&page=all","Maiquel","Falcao","Big Rig","5' 11""","185 lbs.","--","Orthodox","37","10","0",""
"1627321962-11907","http://ufcstats.com/statistics/fighters?char=f&page=all","Pedro","Falcao","Pedrinho","5' 6""","135 lbs.","--","","14","3","0",""
"1627321962-11914","http://ufcstats.com/statistics/fighters?char=f&page=all","Rodney","Faverus","","6' 0""","215 lbs.","--","Southpaw","25","20","3",""
"1627321962-11909","http://ufcstats.com/statistics/fighters?char=f&page=all","Joao Paulo","Faria","","5' 9""","155 lbs.","--","","1","1","0",""
"1627321962-11978","http://ufcstats.com/statistics/fighters?char=f&page=all","Glaico","Franca Moreira","Nego","6' 0""","155 lbs.","77.0""","Orthodox","15","5","0",""
