web-scraper-order,web-scraper-start-url,First,Last,Nickname,Height,Weight,Reach,Stance,Wins,Losses,Draws,Belt
"1627322015-12151","http://ufcstats.com/statistics/fighters?char=g&page=all","Royce","Gracie","","6' 1""","175 lbs.","--","Southpaw","15","2","3",""
"1627322015-12058","http://ufcstats.com/statistics/fighters?char=g&page=all","Azamat","Gashimov","","5' 6""","125 lbs.","--","Orthodox","8","3","0",""
"1627322015-12078","http://ufcstats.com/statistics/fighters?char=g&page=all","Lee","Gibson","Lethal","5' 7""","155 lbs.","--","","12","4","0",""
"1627322015-12090","http://ufcstats.com/statistics/fighters?char=g&page=all","Krishaun","Gilmore","","--","--","--","","0","1","0",""
"1627322015-12194","http://ufcstats.com/statistics/fighters?char=g&page=all","Garrett","Gross","","5' 9""","155 lbs.","--","Orthodox","11","7","0",""
"1627322015-12111","http://ufcstats.com/statistics/fighters?char=g&page=all","Alan","Gomez","","--","155 lbs.","--","","2","0","0",""
"1627322015-12067","http://ufcstats.com/statistics/fighters?char=g&page=all","Paul","Georgieff","","6' 2""","170 lbs.","--","Orthodox","6","2","0",""
"1627322015-12091","http://ufcstats.com/statistics/fighters?char=g&page=all","Alex","Gilpin","","5' 7""","145 lbs.","--","Orthodox","11","1","0",""
"1627322015-12049","http://ufcstats.com/statistics/fighters?char=g&page=all","Nick","Garcia","Nitro","5' 4""","125 lbs.","--","","8","3","0",""
"1627322015-12089","http://ufcstats.com/statistics/fighters?char=g&page=all","Jason","Gilliam","","6' 0""","170 lbs.","--","Orthodox","14","9","0",""
"1627322015-12123","http://ufcstats.com/statistics/fighters?char=g&page=all","Fernando","Gonzalez","The Menifee Maniac","5' 9""","170 lbs.","68.0""","Southpaw","26","14","0",""
"1627322015-12075","http://ufcstats.com/statistics/fighters?char=g&page=all","Nick","Gibbons","","5' 10""","155 lbs.","--","","2","1","0",""
"1627322015-12134","http://ufcstats.com/statistics/fighters?char=g&page=all","Gary","Goodridge","Big Daddy","6' 3""","249 lbs.","--","Orthodox","23","22","1",""
"1627322015-12197","http://ufcstats.com/statistics/fighters?char=g&page=all","Chris","Gruetzemacher","Gritz","5' 8""","155 lbs.","68.0""","Orthodox","14","4","0",""
"1627322015-12177","http://ufcstats.com/statistics/fighters?char=g&page=all","James","Gray","The Phenom","5' 9""","135 lbs.","--","Orthodox","4","1","0",""
"1627322015-12170","http://ufcstats.com/statistics/fighters?char=g&page=all","TJ","Grant","","5' 10""","155 lbs.","72.0""","Orthodox","21","5","0",""
"1627322015-12150","http://ufcstats.com/statistics/fighters?char=g&page=all","Damian","Grabowski","The Polish Pitbull","6' 1""","241 lbs.","75.0""","Orthodox","20","5","0",""
"1627322015-12018","http://ufcstats.com/statistics/fighters?char=g&page=all","Claudia","Gadelha","Claudinha","5' 4""","115 lbs.","63.0""","Orthodox","18","5","0",""
"1627322015-12176","http://ufcstats.com/statistics/fighters?char=g&page=all","Shelton","Graves","The Gravedigger","6' 2""","255 lbs.","76.0""","Southpaw","7","3","0",""
"1627322015-12182","http://ufcstats.com/statistics/fighters?char=g&page=all","Gabe","Green","Gifted","5' 10""","170 lbs.","73.0""","Switch","10","3","0",""
"1627322015-12023","http://ufcstats.com/statistics/fighters?char=g&page=all","Mitch","Gagnon","","5' 5""","135 lbs.","65.0""","Southpaw","12","5","0",""
"1627322015-12062","http://ufcstats.com/statistics/fighters?char=g&page=all","Melissa","Gatto","","5' 5""","135 lbs.","--","Orthodox","6","0","2",""
"1627322015-12076","http://ufcstats.com/statistics/fighters?char=g&page=all","James","Giboo","","5' 11""","170 lbs.","--","Orthodox","13","5","0",""
"1627322015-12057","http://ufcstats.com/statistics/fighters?char=g&page=all","Pablo","Garza","The Scarecrow","6' 1""","145 lbs.","73.0""","Orthodox","12","4","0",""
"1627322015-12166","http://ufcstats.com/statistics/fighters?char=g&page=all","Kron","Gracie","","5' 9""","145 lbs.","70.0""","Southpaw","5","1","0",""
"1627322015-12056","http://ufcstats.com/statistics/fighters?char=g&page=all","Ian","Garry","The Future","6' 3""","170 lbs.","--","","7","0","0",""
"1627322015-12097","http://ufcstats.com/statistics/fighters?char=g&page=all","Brandon","Girtz","Cold Roll","5' 7""","155 lbs.","--","","14","7","0",""
"1627322015-12031","http://ufcstats.com/statistics/fighters?char=g&page=all","Turrell","Galloway","","5' 3""","145 lbs.","--","","8","6","0",""
"1627322015-12083","http://ufcstats.com/statistics/fighters?char=g&page=all","Joseph","Gigliotti","Capo","5' 11""","185 lbs.","--","Orthodox","7","2","0",""
"1627322015-12172","http://ufcstats.com/statistics/fighters?char=g&page=all","Dwight","Grant","The Body Snatcher","6' 1""","170 lbs.","76.0""","Switch","11","3","0",""
"1627322015-12217","http://ufcstats.com/statistics/fighters?char=g&page=all","Justin","Guthrie","","6' 1""","170 lbs.","--","","18","9","0",""
"1627322015-12148","http://ufcstats.com/statistics/fighters?char=g&page=all","Hugo","Govea","","--","--","--","","0","1","0",""
"1627322015-12200","http://ufcstats.com/statistics/fighters?char=g&page=all","Wang","Guan","The Dongbei Tiger","5' 9""","145 lbs.","71.0""","Orthodox","20","1","1",""
"1627322015-12124","http://ufcstats.com/statistics/fighters?char=g&page=all","Nick","Gonzalez","The Ghost","5' 6""","155 lbs.","--","Orthodox","17","12","0",""
"1627322015-12054","http://ufcstats.com/statistics/fighters?char=g&page=all","Rulon","Gardner","","6' 3""","265 lbs.","--","Orthodox","1","0","0",""
"1627322015-12113","http://ufcstats.com/statistics/fighters?char=g&page=all","Ulysses","Gomez","Useless","5' 6""","125 lbs.","--","Orthodox","9","5","0",""
"1627322015-12201","http://ufcstats.com/statistics/fighters?char=g&page=all","Nandor","Guelmino","The Hun","6' 3""","230 lbs.","--","","11","5","1",""
"1627322015-12035","http://ufcstats.com/statistics/fighters?char=g&page=all","Lucas","Gamaza","","--","170 lbs.","--","","8","4","0",""
"1627322015-12121","http://ufcstats.com/statistics/fighters?char=g&page=all","Gabriel","Gonzaga","Napao","6' 2""","242 lbs.","76.0""","Orthodox","17","11","0",""
"1627322015-12050","http://ufcstats.com/statistics/fighters?char=g&page=all","Steve","Garcia","Mean Machine","6' 0""","155 lbs.","75.0""","Southpaw","11","4","0",""
"1627322015-12079","http://ufcstats.com/statistics/fighters?char=g&page=all","Cody","Gibson","The Renegade","5' 10""","135 lbs.","71.0""","Orthodox","15","7","0",""
"1627322015-12016","http://ufcstats.com/statistics/fighters?char=g&page=all","James","Gabert","","--","178 lbs.","--","","6","4","0",""
"1627322015-12052","http://ufcstats.com/statistics/fighters?char=g&page=all","Rafa","Garcia","Gifted","5' 7""","155 lbs.","70.0""","Orthodox","12","1","0",""
"1627322015-12211","http://ufcstats.com/statistics/fighters?char=g&page=all","John","Gunderson","Quick Guns","5' 9""","155 lbs.","69.0""","Orthodox","35","16","2",""
"1627322015-12157","http://ufcstats.com/statistics/fighters?char=g&page=all","Rodrigo","Gracie","","6' 0""","183 lbs.","--","Orthodox","6","2","1",""
"1627322015-12114","http://ufcstats.com/statistics/fighters?char=g&page=all","Joey","Gomez","KO King","5' 10""","135 lbs.","73.0""","Orthodox","6","2","0",""
"1627322015-12026","http://ufcstats.com/statistics/fighters?char=g&page=all","Dave","Galera","Scarecrow","5' 11""","135 lbs.","--","Orthodox","5","1","0",""
"1627322015-12127","http://ufcstats.com/statistics/fighters?char=g&page=all","Jason","Gonzalez","Nicoya","6' 2""","155 lbs.","74.0""","Southpaw","11","5","0",""
"1627322015-12128","http://ufcstats.com/statistics/fighters?char=g&page=all","Pearl","Gonzalez","","5' 4""","115 lbs.","--","Orthodox","6","3","0",""
