web-scraper-order,web-scraper-start-url,First,Last,Nickname,Height,Weight,Reach,Stance,Wins,Losses,Draws,Belt
"1627322092-12241","http://ufcstats.com/statistics/fighters?char=h&page=all","Kazuhiro","Hamanaka","","6' 0""","185 lbs.","--","Southpaw","5","7","1",""
"1627322092-12401","http://ufcstats.com/statistics/fighters?char=h&page=all","Alex","Huddleston","The Shaved Gorilla","6' 7""","254 lbs.","--","","6","2","0",""
"1627322092-12358","http://ufcstats.com/statistics/fighters?char=h&page=all","Roger","Hollett","The Hulk","5' 11""","205 lbs.","--","Orthodox","13","5","0",""
"1627322092-12227","http://ufcstats.com/statistics/fighters?char=h&page=all","Tim","Hague","The Trashing Machine","6' 4""","260 lbs.","76.0""","Orthodox","21","13","0",""
"1627322092-12342","http://ufcstats.com/statistics/fighters?char=h&page=all","Jamahal","Hill","Sweet Dreams","6' 4""","205 lbs.","79.0""","Southpaw","8","1","0",""
"1627322092-12383","http://ufcstats.com/statistics/fighters?char=h&page=all","Matt","Horning","Horndog","5' 4""","125 lbs.","--","","20","25","0",""
"1627322092-12295","http://ufcstats.com/statistics/fighters?char=h&page=all","Ian","Heinisch","The Hurricane","5' 11""","185 lbs.","72.0""","Orthodox","14","5","0",""
"1627322092-12309","http://ufcstats.com/statistics/fighters?char=h&page=all","TJ","Hepburn","The Carnivore","5' 7""","155 lbs.","--","","4","2","0",""
"1627322092-12375","http://ufcstats.com/statistics/fighters?char=h&page=all","Lorenzo","Hood","The Samoan Silverback","6' 3""","265 lbs.","--","","9","4","0",""
"1627322092-12363","http://ufcstats.com/statistics/fighters?char=h&page=all","Rex","Holman","Big Dog","6' 3""","205 lbs.","--","Southpaw","4","2","0",""
"1627322092-12403","http://ufcstats.com/statistics/fighters?char=h&page=all","Casey","Huffman","Hellbent","6' 3""","185 lbs.","--","","3","1","0",""
"1627322092-12305","http://ufcstats.com/statistics/fighters?char=h&page=all","Cory","Hendricks","","6' 3""","205 lbs.","--","","3","1","0",""
"1627322092-12322","http://ufcstats.com/statistics/fighters?char=h&page=all","Chris","Herrera","The Crusher","5' 10""","185 lbs.","--","","3","2","1",""
"1627322092-12288","http://ufcstats.com/statistics/fighters?char=h&page=all","Pat","Healy","Bam Bam","6' 0""","155 lbs.","72.0""","Orthodox","34","23","0",""
"1627322092-12310","http://ufcstats.com/statistics/fighters?char=h&page=all","Jai","Herbert","Black Country Banger","6' 1""","155 lbs.","77.0""","Orthodox","10","3","0",""
"1627322092-12277","http://ufcstats.com/statistics/fighters?char=h&page=all","Phil","Hawes","Megatron","6' 0""","185 lbs.","77.0""","Orthodox","11","2","0",""
"1627322092-12228","http://ufcstats.com/statistics/fighters?char=h&page=all","Yazan","Hajeh","Yazzle Dazzle","5' 9""","145 lbs.","--","Orthodox","6","1","0",""
"1627322092-12239","http://ufcstats.com/statistics/fighters?char=h&page=all","Seo Hee","Ham","","5' 2""","115 lbs.","62.0""","Southpaw","17","8","0",""
"1627322092-12393","http://ufcstats.com/statistics/fighters?char=h&page=all","Harold","Howard","","6' 2""","240 lbs.","--","Orthodox","1","3","0",""
"1627322092-12367","http://ufcstats.com/statistics/fighters?char=h&page=all","Mark","Holst","Boots","6' 0""","155 lbs.","--","Orthodox","12","6","0",""
"1627322092-12353","http://ufcstats.com/statistics/fighters?char=h&page=all","Sam","Hoger","The Alaskan Assassin","6' 2""","205 lbs.","--","Orthodox","10","4","0",""
"1627322092-12343","http://ufcstats.com/statistics/fighters?char=h&page=all","Kailan","Hill","","6' 1""","185 lbs.","77.0""","Southpaw","4","1","0",""
"1627322092-12321","http://ufcstats.com/statistics/fighters?char=h&page=all","Paul","Herrera","The Bone Crusher","5' 10""","185 lbs.","--","Orthodox","1","1","0",""
"1627322092-12329","http://ufcstats.com/statistics/fighters?char=h&page=all","Brandon","Hester","The Beast","6' 1""","205 lbs.","--","","3","0","0",""
