web-scraper-order,web-scraper-start-url,First,Last,Nickname,Height,Weight,Reach,Stance,Wins,Losses,Draws,Belt
"1627322143-12433","http://ufcstats.com/statistics/fighters?char=i&page=all","Chris","Inman","","--","--","--","","1","0","0",""
"1627322143-12448","http://ufcstats.com/statistics/fighters?char=i&page=all","Yuki","Ishikawa","","5' 11""","205 lbs.","--","Orthodox","0","2","0",""
"1627322143-12424","http://ufcstats.com/statistics/fighters?char=i&page=all","Fabiano","Iha","","5' 8""","155 lbs.","--","Orthodox","9","5","0",""
"1627322143-12451","http://ufcstats.com/statistics/fighters?char=i&page=all","Damir","Ismagulov","","5' 10""","155 lbs.","74.0""","Orthodox","23","1","0",""
"1627322143-12427","http://ufcstats.com/statistics/fighters?char=i&page=all","Zelim","Imadaev","","6' 0""","170 lbs.","76.0""","Orthodox","8","3","0",""
"1627322143-12419","http://ufcstats.com/statistics/fighters?char=i&page=all","Khadis","Ibragimov","","6' 3""","205 lbs.","78.0""","Orthodox","8","4","0",""
"1627322143-12440","http://ufcstats.com/statistics/fighters?char=i&page=all","Inoue","Mizuki","","5' 3""","125 lbs.","65.0""","Orthodox","14","6","0",""
"1627322143-12455","http://ufcstats.com/statistics/fighters?char=i&page=all","Anthony","Ivy","Aquaman","6' 2""","185 lbs.","74.0""","Orthodox","8","4","0",""
"1627322143-12421","http://ufcstats.com/statistics/fighters?char=i&page=all","Dan","Ige","50K","5' 7""","145 lbs.","71.0""","Orthodox","15","4","0",""
"1627322143-12436","http://ufcstats.com/statistics/fighters?char=i&page=all","Egan","Inoue","","5' 9""","190 lbs.","--","Southpaw","13","8","0",""
"1627322143-12456","http://ufcstats.com/statistics/fighters?char=i&page=all","Tomomi","Iwama","","5' 3""","155 lbs.","--","Orthodox","9","6","2",""
"1627322143-12441","http://ufcstats.com/statistics/fighters?char=i&page=all","Jorge","Interiano","","6' 1""","205 lbs.","--","","4","3","0",""
"1627322143-12417","http://ufcstats.com/statistics/fighters?char=i&page=all","","null","null","null","null","null","null","null","null","null","null"
"1627322143-12454","http://ufcstats.com/statistics/fighters?char=i&page=all","Blagoy","Ivanov","Baga","5' 11""","250 lbs.","73.0""","Southpaw","18","4","0",""
"1627322143-12450","http://ufcstats.com/statistics/fighters?char=i&page=all","Tokimitsu","Ishizawa","Kendo Ka Shin","6' 0""","185 lbs.","--","Orthodox","1","5","1",""
"1627322143-12429","http://ufcstats.com/statistics/fighters?char=i&page=all","Masakazu","Imanari","","5' 4""","139 lbs.","--","Southpaw","36","16","2",""
"1627322143-12453","http://ufcstats.com/statistics/fighters?char=i&page=all","Leandro","Issa","Brodinho","5' 7""","135 lbs.","69.0""","Orthodox","13","6","0",""
"1627322143-12422","http://ufcstats.com/statistics/fighters?char=i&page=all","Valeri","Ignatov","","5' 9""","170 lbs.","--","Orthodox","1","2","0",""
"1627322143-12428","http://ufcstats.com/statistics/fighters?char=i&page=all","Yusuke","Imamura","","5' 8""","220 lbs.","--","Orthodox","2","6","0",""
"1627322143-12437","http://ufcstats.com/statistics/fighters?char=i&page=all","Katsuya","Inoue","","5' 9""","168 lbs.","--","Southpaw","19","9","4",""
"1627322143-12445","http://ufcstats.com/statistics/fighters?char=i&page=all","Mitsuhiro","Ishida","The Endless Warrior","5' 6""","154 lbs.","--","Southpaw","20","8","1",""
"1627322143-12439","http://ufcstats.com/statistics/fighters?char=i&page=all","Naoki","Inoue","","5' 9""","125 lbs.","71.0""","Orthodox","11","1","0",""
"1627322143-12442","http://ufcstats.com/statistics/fighters?char=i&page=all","Jason","Ireland","The Irish Tornado","5' 9""","161 lbs.","--","Southpaw","19","9","1",""
"1627322143-12423","http://ufcstats.com/statistics/fighters?char=i&page=all","Sergey","Ignatov","","5' 9""","210 lbs.","--","Orthodox","0","1","0",""
"1627322143-12431","http://ufcstats.com/statistics/fighters?char=i&page=all","Brad","Imes","Hillbilly Heartthrob","6' 7""","265 lbs.","--","Orthodox","13","7","0",""
"1627322143-12435","http://ufcstats.com/statistics/fighters?char=i&page=all","Enson","Inoue","Yamato Damashii","5' 10""","210 lbs.","--","Orthodox","12","8","0",""
"1627322143-12447","http://ufcstats.com/statistics/fighters?char=i&page=all","Satoshi","Ishii","","5' 11""","240 lbs.","--","Orthodox","15","8","1",""
"1627322143-12438","http://ufcstats.com/statistics/fighters?char=i&page=all","Takeshi","Inoue","Lion","5' 8""","145 lbs.","--","","23","10","0",""
"1627322143-12459","http://ufcstats.com/statistics/fighters?char=i&page=all","Hiroshi","Izumi","","--","205 lbs.","--","Orthodox","4","2","0",""
"1627322143-12432","http://ufcstats.com/statistics/fighters?char=i&page=all","Chris","Indich","","5' 10""","170 lbs.","--","","6","4","0",""
"1627322143-12430","http://ufcstats.com/statistics/fighters?char=i&page=all","Nassourdine","Imavov","","6' 3""","185 lbs.","75.0""","Orthodox","10","3","0",""
"1627322143-12420","http://ufcstats.com/statistics/fighters?char=i&page=all","Minoki","Ichihara","","5' 7""","178 lbs.","--","Orthodox","0","1","0",""
"1627322143-12444","http://ufcstats.com/statistics/fighters?char=i&page=all","Eric","Irvin","","5' 8""","155 lbs.","--","","11","4","0",""
"1627322143-12426","http://ufcstats.com/statistics/fighters?char=i&page=all","Mikhail","Iloukhine","","5' 9""","205 lbs.","--","Orthodox","30","11","1",""
"1627322143-12449","http://ufcstats.com/statistics/fighters?char=i&page=all","Eiji","Ishikawa","","5' 10""","170 lbs.","--","","29","24","3",""
"1627322143-12418","http://ufcstats.com/statistics/fighters?char=i&page=all","Al","Iaquinta","Raging","5' 10""","155 lbs.","70.0""","Orthodox","14","6","1",""
"1627322143-12425","http://ufcstats.com/statistics/fighters?char=i&page=all","Seichi","Ikemoto","","5' 11""","168 lbs.","--","Orthodox","21","19","5",""
"1627322143-12443","http://ufcstats.com/statistics/fighters?char=i&page=all","James","Irvin","The Sandman","6' 2""","205 lbs.","75.0""","Orthodox","17","10","0",""
"1627322143-12452","http://ufcstats.com/statistics/fighters?char=i&page=all","Wallid","Ismail","","5' 7""","205 lbs.","--","Orthodox","9","3","0",""
"1627322143-12434","http://ufcstats.com/statistics/fighters?char=i&page=all","Guto","Inocente","","6' 3""","205 lbs.","--","Orthodox","7","4","0",""
"1627322143-12446","http://ufcstats.com/statistics/fighters?char=i&page=all","Teruto","Ishihara","Yashabo","5' 7""","135 lbs.","69.0""","Southpaw","10","7","2",""
"1627322143-12457","http://ufcstats.com/statistics/fighters?char=i&page=all","Tatsuya","Iwasaki","","5' 9""","205 lbs.","--","Orthodox","0","1","0",""
"1627322143-12458","http://ufcstats.com/statistics/fighters?char=i&page=all","Yoislandy","Izquierdo","Cuba","5' 11""","155 lbs.","--","Southpaw","10","4","0",""
