web-scraper-order,web-scraper-start-url,First,Last,Nickname,Height,Weight,Reach,Stance,Wins,Losses,Draws,Belt
"1627322218-12498","http://ufcstats.com/statistics/fighters?char=j&page=all","Ronald","Jhun","The Machine Gun","5' 11""","170 lbs.","--","Orthodox","24","26","2",""
"1627322218-12569","http://ufcstats.com/statistics/fighters?char=j&page=all","Cristiane","Justino","Cyborg","5' 8""","145 lbs.","68.0""","Orthodox","21","2","0",""
"1627322218-12482","http://ufcstats.com/statistics/fighters?char=j&page=all","Brock","Jardine","The Machine","5' 11""","170 lbs.","--","Orthodox","12","6","0",""
"1627322218-12560","http://ufcstats.com/statistics/fighters?char=j&page=all","Jesse","Juarez","","6' 1""","170 lbs.","--","Orthodox","23","12","0",""
"1627322218-12517","http://ufcstats.com/statistics/fighters?char=j&page=all","Kajan","Johnson","Ragin'","5' 11""","155 lbs.","75.0""","Orthodox","23","13","1",""
"1627322218-12548","http://ufcstats.com/statistics/fighters?char=j&page=all","Shawn","Jordan","The Savage","6' 0""","260 lbs.","75.0""","Southpaw","19","8","0",""
"1627322218-12461","http://ufcstats.com/statistics/fighters?char=j&page=all","Yves","Jabouin","Tiger","5' 7""","135 lbs.","68.0""","Orthodox","20","11","0",""
"1627322218-12532","http://ufcstats.com/statistics/fighters?char=j&page=all","Carlton","Jones","","6' 1""","225 lbs.","--","Orthodox","1","4","0",""
"1627322218-12499","http://ufcstats.com/statistics/fighters?char=j&page=all","Gilbert","Jimenez","","--","155 lbs.","--","","8","12","1",""
"1627322218-12558","http://ufcstats.com/statistics/fighters?char=j&page=all","Dustin","Joynson","","6' 6""","244 lbs.","78.0""","Orthodox","5","0","0",""
"1627322218-12506","http://ufcstats.com/statistics/fighters?char=j&page=all","Miles","Johns","Chapo","5' 7""","135 lbs.","66.0""","Orthodox","11","1","0",""
"1627322218-12549","http://ufcstats.com/statistics/fighters?char=j&page=all","Ivan","Jorge","Batman","5' 9""","155 lbs.","73.0""","Orthodox","27","7","0",""
"1627322218-12559","http://ufcstats.com/statistics/fighters?char=j&page=all","Tony","Juarez","","--","155 lbs.","--","","1","12","0",""
"1627322218-12546","http://ufcstats.com/statistics/fighters?char=j&page=all","Kevin","Jordan","The Shaman","6' 3""","245 lbs.","--","Orthodox","11","9","0",""
"1627322218-12531","http://ufcstats.com/statistics/fighters?char=j&page=all","Marcus","Jones","The Darkness","6' 6""","265 lbs.","--","Orthodox","4","2","0",""
"1627322218-12460","http://ufcstats.com/statistics/fighters?char=j&page=all","","null","null","null","null","null","null","null","null","null","null"
"1627322218-12525","http://ufcstats.com/statistics/fighters?char=j&page=all","Brian","Johnston","","6' 3""","230 lbs.","--","Orthodox","5","5","0",""
"1627322218-12496","http://ufcstats.com/statistics/fighters?char=j&page=all","Chan-Mi","Jeon","","5' 5""","115 lbs.","--","Orthodox","5","2","0",""
"1627322218-12555","http://ufcstats.com/statistics/fighters?char=j&page=all","Alan","Jouban","Brahma","6' 0""","170 lbs.","73.0""","Southpaw","17","7","0",""
"1627322218-12485","http://ufcstats.com/statistics/fighters?char=j&page=all","Jasmine","Jasudavicius","","5' 7""","125 lbs.","--","","5","1","0",""
"1627322218-12480","http://ufcstats.com/statistics/fighters?char=j&page=all","Gigo","Jara","The Little Animal","5' 9""","145 lbs.","--","","6","9","0",""
"1627322218-12562","http://ufcstats.com/statistics/fighters?char=j&page=all","Luke","Jumeau","The Jedi","5' 11""","170 lbs.","72.0""","Orthodox","13","5","0",""
"1627322218-12493","http://ufcstats.com/statistics/fighters?char=j&page=all","Steve","Jennum","","5' 10""","215 lbs.","--","Orthodox","2","3","0",""
"1627322218-12481","http://ufcstats.com/statistics/fighters?char=j&page=all","Keith","Jardine","The Dean of Mean","6' 2""","185 lbs.","76.0""","Orthodox","17","11","2",""
"1627322218-12533","http://ufcstats.com/statistics/fighters?char=j&page=all","Jesse","Jones","","5' 9""","170 lbs.","--","","2","1","0",""
"1627322218-12563","http://ufcstats.com/statistics/fighters?char=j&page=all","Bu-Kyung","Jung","","5' 7""","154 lbs.","--","Orthodox","0","4","0",""
"1627322218-12527","http://ufcstats.com/statistics/fighters?char=j&page=all","Daniel","Jolly","The Werewolf of Texas","6' 1""","205 lbs.","75.0""","Orthodox","5","3","0",""
"1627322218-12473","http://ufcstats.com/statistics/fighters?char=j&page=all","Justin","James","","5' 10""","155 lbs.","--","Orthodox","13","7","0",""
"1627322218-12545","http://ufcstats.com/statistics/fighters?char=j&page=all","Jocelyn","Jones-Lybarger","","5' 7""","115 lbs.","64.0""","Orthodox","6","4","0",""
"1627322218-12566","http://ufcstats.com/statistics/fighters?char=j&page=all","Da-Un","Jung","Sseda","6' 4""","205 lbs.","78.0""","Orthodox","14","2","1",""
"1627322218-12497","http://ufcstats.com/statistics/fighters?char=j&page=all","Maciej","Jewtuszko","Irokez","6' 0""","155 lbs.","--","Southpaw","12","3","0",""
"1627322218-12503","http://ufcstats.com/statistics/fighters?char=j&page=all","Carls","John De Tomas","","5' 5""","125 lbs.","71.0""","Southpaw","6","2","0",""
"1627322218-12564","http://ufcstats.com/statistics/fighters?char=j&page=all","Chan Sung","Jung","The Korean Zombie","5' 7""","145 lbs.","72.0""","Orthodox","17","6","0",""
"1627322218-12538","http://ufcstats.com/statistics/fighters?char=j&page=all","Victor","Jones","","--","145 lbs.","--","","1","3","0",""
"1627322218-12464","http://ufcstats.com/statistics/fighters?char=j&page=all","Quinton","Jackson","Rampage","6' 1""","205 lbs.","73.0""","Orthodox","37","12","0",""
"1627322218-12470","http://ufcstats.com/statistics/fighters?char=j&page=all","Montel","Jackson","Quik","5' 10""","135 lbs.","75.0""","Southpaw","10","2","0",""
"1627322218-12492","http://ufcstats.com/statistics/fighters?char=j&page=all","Adrienna","Jenkins","AJ","5' 8""","145 lbs.","--","","19","6","0",""
"1627322218-12490","http://ufcstats.com/statistics/fighters?char=j&page=all","Trent","Jenkins","","6' 2""","185 lbs.","--","","0","4","0",""
"1627322218-12474","http://ufcstats.com/statistics/fighters?char=j&page=all","Nate","James","","6' 0""","185 lbs.","--","","14","8","1",""
"1627322218-12507","http://ufcstats.com/statistics/fighters?char=j&page=all","Anthony","Johnson","Rumble","6' 2""","205 lbs.","78.0""","Orthodox","22","6","0",""
"1627322218-12553","http://ufcstats.com/statistics/fighters?char=j&page=all","Jeff","Joslin","The Inferno","6' 0""","170 lbs.","--","Orthodox","5","3","0",""
"1627322218-12561","http://ufcstats.com/statistics/fighters?char=j&page=all","Steve","Judson","","5' 11""","230 lbs.","--","Orthodox","0","2","0",""
"1627322218-12518","http://ufcstats.com/statistics/fighters?char=j&page=all","Dashon","Johnson","Flyboy","5' 7""","145 lbs.","--","Orthodox","9","2","0",""
"1627322218-12541","http://ufcstats.com/statistics/fighters?char=j&page=all","Jamelle","Jones","The Beast","6' 0""","205 lbs.","75.0""","Orthodox","7","5","0",""
"1627322218-12512","http://ufcstats.com/statistics/fighters?char=j&page=all","Tony","Johnson","","6' 2""","205 lbs.","76.0""","Orthodox","7","2","0",""
"1627322218-12509","http://ufcstats.com/statistics/fighters?char=j&page=all","Devin","Johnson","","--","--","--","","1","1","1",""
"1627322218-12530","http://ufcstats.com/statistics/fighters?char=j&page=all","Nathan","Jones","","6' 11""","345 lbs.","--","Orthodox","0","1","0",""
"1627322218-12523","http://ufcstats.com/statistics/fighters?char=j&page=all","Chad","Johnson","Big Rigg","6' 2""","230 lbs.","80.0""","Orthodox","6","2","0",""
"1627322218-12467","http://ufcstats.com/statistics/fighters?char=j&page=all","Kenyon","Jackson","","6' 0""","185 lbs.","--","","4","3","0",""
"1627322218-12465","http://ufcstats.com/statistics/fighters?char=j&page=all","Jeremy","Jackson","Scorpion","5' 10""","170 lbs.","--","Orthodox","9","5","0",""
"1627322218-12542","http://ufcstats.com/statistics/fighters?char=j&page=all","Antonio","Jones","Doomsday","5' 11""","185 lbs.","--","Orthodox","6","1","0",""
"1627322218-12519","http://ufcstats.com/statistics/fighters?char=j&page=all","Timothy","Johnson","","6' 3""","265 lbs.","77.0""","Southpaw","12","4","0",""
"1627322218-12471","http://ufcstats.com/statistics/fighters?char=j&page=all","Eric","Jacob","","--","155 lbs.","--","","1","9","0",""
"1627322218-12537","http://ufcstats.com/statistics/fighters?char=j&page=all","Ben","Jones","Blitzkrieg","--","185 lbs.","--","","4","4","0",""
"1627322218-12514","http://ufcstats.com/statistics/fighters?char=j&page=all","Demetrious","Johnson","Mighty Mouse","5' 3""","125 lbs.","66.0""","Orthodox","27","3","1",""
"1627322218-12516","http://ufcstats.com/statistics/fighters?char=j&page=all","Deshaun","Johnson","","--","167 lbs.","--","","6","9","0",""
"1627322218-12505","http://ufcstats.com/statistics/fighters?char=j&page=all","Brett","Johns","The Pikey","5' 7""","135 lbs.","71.0""","Orthodox","17","2","0",""
"1627322218-12547","http://ufcstats.com/statistics/fighters?char=j&page=all","Joe","Jordan","","5' 6""","155 lbs.","--","Orthodox","49","14","2",""
"1627322218-12501","http://ufcstats.com/statistics/fighters?char=j&page=all","Ryan","Jimmo","The Big Deal","6' 1""","205 lbs.","73.0""","Orthodox","19","5","0",""
"1627322218-12500","http://ufcstats.com/statistics/fighters?char=j&page=all","Art","Jimmerson","","6' 1""","196 lbs.","--","Orthodox","0","1","0",""
"1627322218-12528","http://ufcstats.com/statistics/fighters?char=j&page=all","Paul","Jones","","5' 9""","199 lbs.","--","Orthodox","11","1","1",""
"1627322218-12521","http://ufcstats.com/statistics/fighters?char=j&page=all","Jordan","Johnson","","6' 2""","205 lbs.","79.0""","Orthodox","10","0","0",""
"1627322218-12475","http://ufcstats.com/statistics/fighters?char=j&page=all","Virna","Jandiroba","Carcara","5' 3""","115 lbs.","64.0""","Orthodox","17","2","0",""
"1627322218-12489","http://ufcstats.com/statistics/fighters?char=j&page=all","Aaron","Jeffery","","6' 2""","185 lbs.","74.0""","Orthodox","6","2","0",""
"1627322218-12565","http://ufcstats.com/statistics/fighters?char=j&page=all","Young Sam","Jung","","5' 8""","139 lbs.","--","Orthodox","4","8","0",""
"1627322218-12539","http://ufcstats.com/statistics/fighters?char=j&page=all","Chris","Jones","Lionheart","5' 9""","149 lbs.","--","","10","5","0",""
"1627322218-12483","http://ufcstats.com/statistics/fighters?char=j&page=all","Josh","Jarvis","","--","--","--","","1","4","0",""
"1627322218-12557","http://ufcstats.com/statistics/fighters?char=j&page=all","Mike","Joy","","5' 6""","155 lbs.","--","Southpaw","11","8","0",""
