web-scraper-order,web-scraper-start-url,First,Last,Nickname,Height,Weight,Reach,Stance,Wins,Losses,Draws,Belt
"1627322307-12704","http://ufcstats.com/statistics/fighters?char=k&page=all","Tsuyoshi","Kurihara","","5' 10""","185 lbs.","--","Orthodox","10","8","2",""
"1627322307-12619","http://ufcstats.com/statistics/fighters?char=k&page=all","Mark","Kerr","The Smashing Machine","6' 3""","266 lbs.","--","Switch","15","11","0",""
"1627322307-12652","http://ufcstats.com/statistics/fighters?char=k&page=all","Ludovit","Klein","Mr. Highlight","5' 7""","145 lbs.","72.0""","Southpaw","17","3","0",""
"1627322307-12591","http://ufcstats.com/statistics/fighters?char=k&page=all","Nadia","Kassem","","5' 5""","125 lbs.","66.0""","Southpaw","5","2","0",""
"1627322307-12709","http://ufcstats.com/statistics/fighters?char=k&page=all","Kaleo","Kwan","Leo Boy","5' 7""","155 lbs.","--","","11","16","0",""
"1627322307-12677","http://ufcstats.com/statistics/fighters?char=k&page=all","Naoyuki","Kotani","","5' 8""","155 lbs.","66.0""","Southpaw","34","14","7",""
"1627322307-12584","http://ufcstats.com/statistics/fighters?char=k&page=all","Kyung Ho","Kang","Mr. Perfect","5' 9""","135 lbs.","73.0""","Orthodox","17","8","0",""
"1627322307-12685","http://ufcstats.com/statistics/fighters?char=k&page=all","James","Krause","The","6' 2""","170 lbs.","73.0""","Orthodox","28","9","0",""
"1627322307-12576","http://ufcstats.com/statistics/fighters?char=k&page=all","Bryson","Kamaka","","5' 11""","170 lbs.","--","Orthodox","12","20","1",""
"1627322307-12621","http://ufcstats.com/statistics/fighters?char=k&page=all","Ron","Keslar","","--","185 lbs.","--","","11","9","0",""
"1627322307-12579","http://ufcstats.com/statistics/fighters?char=k&page=all","Bharat","Kandare","Daring","5' 7""","135 lbs.","72.0""","Orthodox","5","3","0",""
"1627322307-12595","http://ufcstats.com/statistics/fighters?char=k&page=all","Brad","Katona","","5' 6""","135 lbs.","64.0""","Orthodox","8","2","0",""
"1627322307-12572","http://ufcstats.com/statistics/fighters?char=k&page=all","Emily","Kagan","","5' 3""","115 lbs.","--","","3","3","0",""
