web-scraper-order,web-scraper-start-url,First,Last,Nickname,Height,Weight,Reach,Stance,Wins,Losses,Draws,Belt
"1627322406-12792","http://ufcstats.com/statistics/fighters?char=l&page=all","Victoria","Leonardo","Fury","5' 5""","125 lbs.","64.0""","Orthodox","8","4","0",""
"1627322406-12810","http://ufcstats.com/statistics/fighters?char=l&page=all","Brandon","Lewis","","5' 4""","135 lbs.","--","","5","0","0",""
"1627322406-12766","http://ufcstats.com/statistics/fighters?char=l&page=all","Justin","Ledet","El Blanco","6' 4""","205 lbs.","80.0""","Orthodox","9","4","0",""
"1627322406-12832","http://ufcstats.com/statistics/fighters?char=l&page=all","Philipe","Lins","Monstro","6' 2""","240 lbs.","78.0""","Orthodox","14","5","0",""
"1627322406-12750","http://ufcstats.com/statistics/fighters?char=l&page=all","Muhammed","Lawal","King Mo","6' 0""","205 lbs.","78.0""","Southpaw","21","6","0",""
"1627322406-12813","http://ufcstats.com/statistics/fighters?char=l&page=all","Jess","Liaudin","The Joker","5' 9""","170 lbs.","72.0""","Orthodox","20","11","0",""
"1627322406-12860","http://ufcstats.com/statistics/fighters?char=l&page=all","Brendan","Loughnane","","5' 10""","145 lbs.","70.0""","Switch","17","3","0",""
"1627322406-12767","http://ufcstats.com/statistics/fighters?char=l&page=all","James","Lee","","5' 11""","205 lbs.","--","Southpaw","15","3","0",""
"1627322406-12770","http://ufcstats.com/statistics/fighters?char=l&page=all","Eun Soo","Lee","","6' 1""","215 lbs.","--","Orthodox","17","4","0",""
"1627322406-12723","http://ufcstats.com/statistics/fighters?char=l&page=all","Todd","Lally","","5' 7""","145 lbs.","--","Orthodox","2","1","0",""
"1627322406-12753","http://ufcstats.com/statistics/fighters?char=l&page=all","Justin","Lawrence","The American Kidd","5' 8""","145 lbs.","67.0""","Orthodox","10","4","0",""
"1627322406-12878","http://ufcstats.com/statistics/fighters?char=l&page=all","Travis","Lutter","The Serial Killer","5' 11""","185 lbs.","75.0""","Orthodox","10","6","0",""
"1627322406-12798","http://ufcstats.com/statistics/fighters?char=l&page=all","Brock","Lesnar","","6' 3""","265 lbs.","81.0""","Orthodox","5","3","0",""
"1627322406-12783","http://ufcstats.com/statistics/fighters?char=l&page=all","Stefan","Leko","Blitz","6' 2""","215 lbs.","--","Orthodox","0","3","0",""
"1627322406-12883","http://ufcstats.com/statistics/fighters?char=l&page=all","Chris","Lytle","Lights Out","5' 11""","170 lbs.","68.0""","Orthodox","31","18","5",""
"1627322406-12774","http://ufcstats.com/statistics/fighters?char=l&page=all","Imani","Lee","","--","--","--","Orthodox","2","4","0",""
"1627322406-12775","http://ufcstats.com/statistics/fighters?char=l&page=all","Vaughan","Lee","","5' 6""","125 lbs.","66.0""","Orthodox","14","13","1",""
"1627322406-12768","http://ufcstats.com/statistics/fighters?char=l&page=all","David","Lee","","5' 10""","155 lbs.","--","Orthodox","12","10","0",""
"1627322406-12828","http://ufcstats.com/statistics/fighters?char=l&page=all","Jake","Lindsey","The Librarian","5' 11""","155 lbs.","--","Switch","12","7","0",""
"1627322406-12876","http://ufcstats.com/statistics/fighters?char=l&page=all","Vicente","Luque","The Silent Assassin","5' 11""","170 lbs.","75.0""","Orthodox","20","7","1",""
