web-scraper-order,web-scraper-start-url,First,Last,Nickname,Height,Weight,Reach,Stance,Wins,Losses,Draws,Belt
"1627322453-13230","http://ufcstats.com/statistics/fighters?char=m&page=all","Alexander","Munoz","","5' 9""","155 lbs.","72.0""","Switch","6","2","0",""
"1627322453-13045","http://ufcstats.com/statistics/fighters?char=m&page=all","Rhys","McKee","Skeletor","6' 2""","170 lbs.","78.0""","Orthodox","10","4","1",""
"1627322453-12920","http://ufcstats.com/statistics/fighters?char=m&page=all","Michelle","Maher","","--","145 lbs.","--","","1","2","0",""
"1627322453-13236","http://ufcstats.com/statistics/fighters?char=m&page=all","Kanako","Murata","","5' 1""","115 lbs.","62.0""","Orthodox","12","2","0",""
"1627322453-13003","http://ufcstats.com/statistics/fighters?char=m&page=all","John","Matua","","6' 2""","400 lbs.","--","Orthodox","1","4","0",""
"1627322453-12888","http://ufcstats.com/statistics/fighters?char=m&page=all","Rob","MacDonald","Maximus","6' 3""","205 lbs.","78.0""","Orthodox","5","4","0",""
"1627322453-13238","http://ufcstats.com/statistics/fighters?char=m&page=all","Tom","Murphy","","6' 2""","227 lbs.","--","Southpaw","8","0","0",""
"1627322453-13125","http://ufcstats.com/statistics/fighters?char=m&page=all","Ikuhisa","Minowa","Minowaman","5' 9""","181 lbs.","--","Orthodox","60","42","8",""
"1627322453-12899","http://ufcstats.com/statistics/fighters?char=m&page=all","Reza","Madadi","Mad Dog","5' 11""","155 lbs.","73.0""","Orthodox","14","6","0",""
"1627322453-13168","http://ufcstats.com/statistics/fighters?char=m&page=all","Augusto","Montano","Dodger","6' 1""","170 lbs.","73.0""","Orthodox","15","3","0",""
"1627322453-13196","http://ufcstats.com/statistics/fighters?char=m&page=all","Jesse","Moreng","Arturo","5' 7""","145 lbs.","--","Orthodox","9","1","0",""
"1627322453-12983","http://ufcstats.com/statistics/fighters?char=m&page=all","Victor","Martinez","The Brick","5' 10""","155 lbs.","--","","12","4","0",""
"1627322453-12948","http://ufcstats.com/statistics/fighters?char=m&page=all","Cristiano","Marcello","","5' 9""","155 lbs.","72.0""","Orthodox","13","6","0",""
"1627322453-13210","http://ufcstats.com/statistics/fighters?char=m&page=all","Juan","Mott","","6' 0""","190 lbs.","--","Switch","3","4","0",""
"1627322453-13237","http://ufcstats.com/statistics/fighters?char=m&page=all","Vince","Murdock","","5' 6""","145 lbs.","64.0""","Orthodox","12","4","0",""
"1627322453-13115","http://ufcstats.com/statistics/fighters?char=m&page=all","Micah","Miller","Maverick","6' 0""","145 lbs.","--","Orthodox","20","8","0",""
"1627322453-13069","http://ufcstats.com/statistics/fighters?char=m&page=all","Miika","Mehmet","","--","205 lbs.","--","Orthodox","3","5","0",""
"1627322453-12962","http://ufcstats.com/statistics/fighters?char=m&page=all","CJ","Marsh","","--","--","--","","5","7","0",""
"1627322453-13049","http://ufcstats.com/statistics/fighters?char=m&page=all","Terrance","McKinney","T. Wrecks","5' 10""","155 lbs.","73.0""","Switch","11","3","0",""
"1627322453-13026","http://ufcstats.com/statistics/fighters?char=m&page=all","Justin","McCully","The Insane One","6' 1""","225 lbs.","73.0""","Orthodox","11","5","2",""
"1627322453-12926","http://ufcstats.com/statistics/fighters?char=m&page=all","John","Makdessi","The Bull","5' 8""","155 lbs.","68.0""","Orthodox","18","7","0",""
