web-scraper-order,web-scraper-start-url,First,Last,Nickname,Height,Weight,Reach,Stance,Wins,Losses,Draws,Belt
"1627322641-13275","http://ufcstats.com/statistics/fighters?char=n&page=all","Roger","Narvaez","Silverback","6' 3""","185 lbs.","--","Southpaw","8","3","0",""
"1627322641-13255","http://ufcstats.com/statistics/fighters?char=n&page=all","Na","Liang","The Dragon Girl","5' 5""","115 lbs.","67.0""","Orthodox","15","5","0",""
"1627322641-13283","http://ufcstats.com/statistics/fighters?char=n&page=all","Rafael","Natal","Sapo","6' 0""","185 lbs.","77.0""","Orthodox","21","9","1",""
"1627322641-13346","http://ufcstats.com/statistics/fighters?char=n&page=all","Shayilan","Nuerdanbieke","Wolverine","5' 8""","145 lbs.","69.0""","Orthodox","19","7","0",""
"1627322641-13262","http://ufcstats.com/statistics/fighters?char=n&page=all","Andrews","Nakahara","","6' 1""","185 lbs.","--","Orthodox","5","4","2",""
"1627322641-13298","http://ufcstats.com/statistics/fighters?char=n&page=all","Roy","Nelson","Big Country","6' 0""","263 lbs.","73.0""","Orthodox","22","14","0",""
"1627322641-13322","http://ufcstats.com/statistics/fighters?char=n&page=all","Mats","Nilsson","","6' 1""","170 lbs.","--","Orthodox","11","4","1",""
"1627322641-13350","http://ufcstats.com/statistics/fighters?char=n&page=all","Istela","Nunes","","5' 4""","115 lbs.","--","","6","1","0",""
"1627322641-13325","http://ufcstats.com/statistics/fighters?char=n&page=all","Yosuke","Nishijima","","5' 9""","205 lbs.","--","Orthodox","0","5","0",""
"1627322641-13263","http://ufcstats.com/statistics/fighters?char=n&page=all","Rin","Nakai","","5' 1""","135 lbs.","--","Orthodox","19","2","1",""
"1627322641-13329","http://ufcstats.com/statistics/fighters?char=n&page=all","Derrick","Noble","The Eraser","5' 9""","170 lbs.","--","Southpaw","27","15","1",""
"1627322641-13304","http://ufcstats.com/statistics/fighters?char=n&page=all","Julio Cesar","Neves Jr.","Morceguinho","5' 8""","145 lbs.","--","","33","1","0",""
"1627322641-13317","http://ufcstats.com/statistics/fighters?char=n&page=all","Khomkrit","Niimi","The Bumblebee","5' 2""","125 lbs.","--","","6","10","0",""
"1627322641-13337","http://ufcstats.com/statistics/fighters?char=n&page=all","Kyle","Noke","","6' 1""","170 lbs.","76.0""","Southpaw","22","10","1",""
"1627322641-13265","http://ufcstats.com/statistics/fighters?char=n&page=all","Keita","Nakamura","K-Taro","5' 11""","170 lbs.","73.0""","Southpaw","34","10","2",""
"1627322641-13345","http://ufcstats.com/statistics/fighters?char=n&page=all","Phillipe","Nover","The Filipino Assassin","5' 9""","145 lbs.","72.0""","Orthodox","11","8","1",""
"1627322641-13300","http://ufcstats.com/statistics/fighters?char=n&page=all","Kyle","Nelson","The Monster","5' 11""","155 lbs.","71.0""","Switch","13","4","0",""
"1627322641-13307","http://ufcstats.com/statistics/fighters?char=n&page=all","Jeff","Newton","","6' 2""","205 lbs.","--","Sideways","4","2","0",""
"1627322641-13291","http://ufcstats.com/statistics/fighters?char=n&page=all","Joe","Neal","Nine Lives","5' 6""","135 lbs.","--","","6","2","0",""
"1627322641-13353","http://ufcstats.com/statistics/fighters?char=n&page=all","Said","Nurmagomedov","","5' 8""","135 lbs.","70.0""","Orthodox","14","2","0",""
"1627322641-13284","http://ufcstats.com/statistics/fighters?char=n&page=all","Kevin","Natividad","Quicksand","5' 6""","145 lbs.","70.0""","Orthodox","9","3","0",""
"1627322641-13282","http://ufcstats.com/statistics/fighters?char=n&page=all","Pawel","Nastula","","6' 0""","230 lbs.","--","Southpaw","5","6","0",""
"1627322641-13310","http://ufcstats.com/statistics/fighters?char=n&page=all","Francis","Ngannou","The Predator","6' 4""","250 lbs.","83.0""","Orthodox","16","3","0",""
"1627322641-13333","http://ufcstats.com/statistics/fighters?char=n&page=all","Antonio Rodrigo","Nogueira","Minotauro","6' 3""","240 lbs.","77.0""","Orthodox","34","10","1",""
