web-scraper-order,web-scraper-start-url,First,Last,Nickname,Height,Weight,Reach,Stance,Wins,Losses,Draws,Belt
"1627322731-13384","http://ufcstats.com/statistics/fighters?char=o&page=all","Rafaello","Oliveira","Tractor","5' 8""","155 lbs.","71.0""","Orthodox","17","8","0",""
"1627322731-13381","http://ufcstats.com/statistics/fighters?char=o&page=all","Masakatsu","Okuda","","--","--","--","","8","5","0",""
"1627322731-13413","http://ufcstats.com/statistics/fighters?char=o&page=all","Nissen","Osterneck","","6' 2""","185 lbs.","--","Orthodox","12","4","0",""
"1627322731-13374","http://ufcstats.com/statistics/fighters?char=o&page=all","Andy","Ogle","The Little Axe","5' 8""","145 lbs.","69.0""","Orthodox","9","6","0",""
"1627322731-13423","http://ufcstats.com/statistics/fighters?char=o&page=all","Craig","Oxley","","5' 9""","155 lbs.","--","","0","3","0",""
"1627322731-13371","http://ufcstats.com/statistics/fighters?char=o&page=all","Richard","Odoms","The Black Eagle","6' 5""","265 lbs.","--","Orthodox","13","3","0",""
"1627322731-13425","http://ufcstats.com/statistics/fighters?char=o&page=all","Alptekin","Ozkilic","The Turkish Delight","5' 5""","125 lbs.","65.0""","Orthodox","9","5","0",""
"1627322731-13380","http://ufcstats.com/statistics/fighters?char=o&page=all","Kazuki","Okubo","","5' 11""","175 lbs.","--","Orthodox","7","9","0",""
"1627322731-13378","http://ufcstats.com/statistics/fighters?char=o&page=all","Yushin","Okami","Thunder","6' 2""","170 lbs.","75.0""","Southpaw","34","12","0",""
"1627322731-13365","http://ufcstats.com/statistics/fighters?char=o&page=all","Chuck","O'Neil","Cold Steel","6' 2""","170 lbs.","--","","17","9","0",""
"1627322731-13424","http://ufcstats.com/statistics/fighters?char=o&page=all","Shungo","Oyama","","5' 11""","185 lbs.","--","Southpaw","14","19","0",""
"1627322731-13397","http://ufcstats.com/statistics/fighters?char=o&page=all","Cameron","Olson","Cap'n Crunch","6' 1""","205 lbs.","75.0""","Orthodox","7","3","0",""
"1627322731-13370","http://ufcstats.com/statistics/fighters?char=o&page=all","Christian","Ocon","","5' 8""","135 lbs.","69.0""","Orthodox","2","1","0",""
"1627322731-13402","http://ufcstats.com/statistics/fighters?char=o&page=all","Charlie","Ontiveros","American Bad Boy","6' 2""","185 lbs.","78.0""","Switch","11","7","0",""
"1627322731-13422","http://ufcstats.com/statistics/fighters?char=o&page=all","Valentijn","Overeem","","6' 3""","230 lbs.","--","Orthodox","30","32","0",""
"1627322731-13364","http://ufcstats.com/statistics/fighters?char=o&page=all","Jeremiah","O'Neal","","5' 8""","260 lbs.","--","","13","25","0",""
"1627322731-13403","http://ufcstats.com/statistics/fighters?char=o&page=all","Chibwikem","Onyenegecha","","6' 3""","185 lbs.","--","Orthodox","5","0","0",""
"1627322731-13366","http://ufcstats.com/statistics/fighters?char=o&page=all","Casey","O'Neill","King","5' 6""","125 lbs.","69.0""","Orthodox","7","0","0",""
"1627322731-13415","http://ufcstats.com/statistics/fighters?char=o&page=all","Pedro","Otavio","Te Pedro","6' 3""","245 lbs.","--","Orthodox","19","8","0",""
"1627322731-13376","http://ufcstats.com/statistics/fighters?char=o&page=all","Koji","Oishi","","5' 8""","170 lbs.","--","Orthodox","25","10","10",""
"1627322731-13373","http://ufcstats.com/statistics/fighters?char=o&page=all","Naoya","Ogawa","","6' 4""","255 lbs.","--","Orthodox","7","2","0",""
"1627322731-13412","http://ufcstats.com/statistics/fighters?char=o&page=all","Nick","Osipczak","","6' 2""","170 lbs.","76.0""","Orthodox","6","3","0",""
"1627322731-13389","http://ufcstats.com/statistics/fighters?char=o&page=all","Bruno","Oliveira","","6' 4""","205 lbs.","80.0""","Orthodox","8","2","0",""
"1627322731-13361","http://ufcstats.com/statistics/fighters?char=o&page=all","Dan","O'Connor","Johnny Irish","5' 4""","115 lbs.","--","","6","6","0",""
"1627322731-13400","http://ufcstats.com/statistics/fighters?char=o&page=all","Daniel","Omielanczuk","","6' 0""","247 lbs.","74.0""","Southpaw","19","8","1",""
"1627322731-13385","http://ufcstats.com/statistics/fighters?char=o&page=all","Charles","Oliveira","Do Bronx","5' 10""","155 lbs.","74.0""","Orthodox","31","8","0",""
"1627322731-13411","http://ufcstats.com/statistics/fighters?char=o&page=all","Kurt","Osiander","","--","185 lbs.","--","","4","1","0",""
"1627322731-13416","http://ufcstats.com/statistics/fighters?char=o&page=all","Alexander","Otsuka","The Diet Butcher","6' 1""","205 lbs.","--","Orthodox","5","13","0",""
"1627322731-13398","http://ufcstats.com/statistics/fighters?char=o&page=all","Gadzhi","Omargadzhiev","","6' 1""","185 lbs.","--","","12","0","0",""
"1627322731-13395","http://ufcstats.com/statistics/fighters?char=o&page=all","Casey","Olson","The Underdog","5' 7""","145 lbs.","--","Orthodox","14","5","0",""
