web-scraper-order,web-scraper-start-url,First,Last,Nickname,Height,Weight,Reach,Stance,Wins,Losses,Draws,Belt
"1627322813-13577","http://ufcstats.com/statistics/fighters?char=p&page=all","Alexander","Poppeck","","6' 2""","205 lbs.","--","Orthodox","9","3","0",""
"1627322813-13432","http://ufcstats.com/statistics/fighters?char=p&page=all","Cyrillo","Padilha","","5' 11""","155 lbs.","--","","3","3","0",""
"1627322813-13529","http://ufcstats.com/statistics/fighters?char=p&page=all","Tommy","Petersen","","--","155 lbs.","--","","2","3","0",""
"1627322813-13553","http://ufcstats.com/statistics/fighters?char=p&page=all","Oskar","Piechota","Imadlo","6' 0""","185 lbs.","76.0""","Southpaw","11","3","1",""
"1627322813-13501","http://ufcstats.com/statistics/fighters?char=p&page=all","Nick","Penner","The Quiet Assassin","6' 4""","205 lbs.","--","Southpaw","11","3","0",""
"1627322813-13594","http://ufcstats.com/statistics/fighters?char=p&page=all","Niko","Price","The Hybrid","6' 0""","170 lbs.","76.0""","Orthodox","14","5","0",""
"1627322813-13568","http://ufcstats.com/statistics/fighters?char=p&page=all","Ross","Pointon","The Gladiator","5' 8""","170 lbs.","--","Orthodox","6","17","0",""
"1627322813-13508","http://ufcstats.com/statistics/fighters?char=p&page=all","Viviane","Pereira","Sucuri","5' 1""","115 lbs.","63.0""","Orthodox","13","2","0",""
"1627322813-13469","http://ufcstats.com/statistics/fighters?char=p&page=all","Onassis","Parungao","","5' 11""","200 lbs.","--","","2","1","0",""
"1627322813-13433","http://ufcstats.com/statistics/fighters?char=p&page=all","Gary","Padilla","","5' 11""","205 lbs.","--","","12","6","0",""
"1627322813-13499","http://ufcstats.com/statistics/fighters?char=p&page=all","BJ","Penn","The Prodigy","5' 9""","155 lbs.","70.0""","Orthodox","16","14","2",""
"1627322813-13586","http://ufcstats.com/statistics/fighters?char=p&page=all","Trevor","Prangley","","6' 1""","185 lbs.","75.0""","Orthodox","34","11","2",""
"1627322813-13450","http://ufcstats.com/statistics/fighters?char=p&page=all","Eduardo","Pamplona","","5' 11""","170 lbs.","--","","16","4","0",""
"1627322813-13507","http://ufcstats.com/statistics/fighters?char=p&page=all","Robert","Peralta","Problems","5' 8""","145 lbs.","71.0""","Orthodox","18","8","0",""
"1627322813-13581","http://ufcstats.com/statistics/fighters?char=p&page=all","Callan","Potter","The Rockstar","6' 0""","170 lbs.","72.0""","Orthodox","18","9","0",""
