web-scraper-order,web-scraper-start-url,First,Last,Nickname,Height,Weight,Reach,Stance,Wins,Losses,Draws,Belt
"1627322955-13617","http://ufcstats.com/statistics/fighters?char=q&page=all","Billy","Quarantillo","","5' 10""","145 lbs.","70.0""","Orthodox","16","3","0",""
"1627322955-13615","http://ufcstats.com/statistics/fighters?char=q&page=all","Bao","Quach","","5' 3""","145 lbs.","--","Orthodox","19","10","1",""
"1627322955-13616","http://ufcstats.com/statistics/fighters?char=q&page=all","Gary","Quan","","5' 8""","143 lbs.","--","","3","5","0",""
"1627322955-13622","http://ufcstats.com/statistics/fighters?char=q&page=all","Ryan","Quinn","","5' 8""","145 lbs.","--","","13","7","1",""
"1627322955-13620","http://ufcstats.com/statistics/fighters?char=q&page=all","Jimmy","Quinlan","Crash","6' 0""","185 lbs.","--","Orthodox","3","1","1",""
"1627322955-13623","http://ufcstats.com/statistics/fighters?char=q&page=all","Michel","Quinones","El Capo","5' 10""","155 lbs.","73.0""","Orthodox","8","3","0",""
"1627322955-13625","http://ufcstats.com/statistics/fighters?char=q&page=all","Jose","Quinonez","Teco","5' 8""","135 lbs.","69.0""","Southpaw","9","5","0",""
"1627322955-13621","http://ufcstats.com/statistics/fighters?char=q&page=all","Josh","Quinlan","The Renegade","6' 0""","170 lbs.","--","","5","0","0",""
"1627322955-13619","http://ufcstats.com/statistics/fighters?char=q&page=all","Vinicius","Queiroz","Spartan","6' 7""","220 lbs.","--","","8","4","0",""
"1627322955-13614","http://ufcstats.com/statistics/fighters?char=q&page=all","Qihui","Yan","","--","125 lbs.","--","","9","4","0",""
"1627322955-13624","http://ufcstats.com/statistics/fighters?char=q&page=all","Landon","Quinones","","5' 9""","155 lbs.","--","Southpaw","5","1","1",""
"1627322955-13618","http://ufcstats.com/statistics/fighters?char=q&page=all","Nate","Quarry","Rock","6' 0""","185 lbs.","72.0""","Open Stance","12","4","0",""
"1627322955-13613","http://ufcstats.com/statistics/fighters?char=q&page=all","","null","null","null","null","null","null","null","null","null","null"
