web-scraper-order,web-scraper-start-url,First,Last,Nickname,Height,Weight,Reach,Stance,Wins,Losses,Draws,Belt
"1627323119-13696","http://ufcstats.com/statistics/fighters?char=r&page=all","John","Richard","","--","205 lbs.","--","","3","5","1",""
"1627323119-13731","http://ufcstats.com/statistics/fighters?char=r&page=all","Joey","Roberts","","6' 2""","200 lbs.","--","","4","3","0",""
"1627323119-13666","http://ufcstats.com/statistics/fighters?char=r&page=all","John","Reedy","The Wild Child","5' 8""","155 lbs.","--","","11","6","0",""
"1627323119-13759","http://ufcstats.com/statistics/fighters?char=r&page=all","Marina","Rodriguez","","5' 6""","115 lbs.","65.0""","Orthodox","14","1","2",""
"1627323119-13791","http://ufcstats.com/statistics/fighters?char=r&page=all","Jake","Rosholt","","6' 1""","185 lbs.","--","Orthodox","12","5","0",""
"1627323119-13641","http://ufcstats.com/statistics/fighters?char=r&page=all","Andrew","Ramm","The","6' 1""","160 lbs.","--","","4","4","0",""
"1627323119-13802","http://ufcstats.com/statistics/fighters?char=r&page=all","Roberta","Rovel","Crusher","5' 8""","145 lbs.","--","","4","1","0",""
"1627323119-13721","http://ufcstats.com/statistics/fighters?char=r&page=all","Irwin","Rivera","The Beast","5' 6""","135 lbs.","67.0""","Southpaw","10","6","0",""
"1627323119-13644","http://ufcstats.com/statistics/fighters?char=r&page=all","Ricardo","Ramos","","5' 9""","145 lbs.","72.0""","Orthodox","15","3","0",""
"1627323119-13709","http://ufcstats.com/statistics/fighters?char=r&page=all","Mike","Rio","The Wolverine","5' 10""","155 lbs.","70.0""","Orthodox","10","5","0",""
"1627323119-13650","http://ufcstats.com/statistics/fighters?char=r&page=all","David","Rasouri","","5' 7""","155 lbs.","--","","2","3","0",""
"1627323119-13748","http://ufcstats.com/statistics/fighters?char=r&page=all","Keith","Rockel","Rock","6' 0""","185 lbs.","--","Orthodox","12","4","1",""
"1627323119-13788","http://ufcstats.com/statistics/fighters?char=r&page=all","Karol","Rosa","","5' 5""","135 lbs.","67.0""","Orthodox","14","3","0",""
"1627323119-13715","http://ufcstats.com/statistics/fighters?char=r&page=all","Jorge","Rivera","El Conquistador","6' 1""","185 lbs.","73.0""","Orthodox","20","9","0",""
"1627323119-13756","http://ufcstats.com/statistics/fighters?char=r&page=all","Manuel","Rodriguez","Chalate","5' 9""","170 lbs.","--","Orthodox","11","5","0",""
"1627323119-13690","http://ufcstats.com/statistics/fighters?char=r&page=all","Vitor","Ribeiro","Shaolin","5' 8""","154 lbs.","--","Orthodox","20","5","0",""
"1627323119-13745","http://ufcstats.com/statistics/fighters?char=r&page=all","Damonte","Robinson","","6' 0""","155 lbs.","77.0""","","6","1","1",""
"1627323119-13689","http://ufcstats.com/statistics/fighters?char=r&page=all","Amanda","Ribas","","5' 3""","125 lbs.","66.0""","Orthodox","10","2","0",""
"1627323119-13800","http://ufcstats.com/statistics/fighters?char=r&page=all","Ronda","Rousey","Rowdy","5' 7""","135 lbs.","66.0""","Orthodox","12","2","0",""
"1627323119-13794","http://ufcstats.com/statistics/fighters?char=r&page=all","Zach","Rosol","","--","243 lbs.","--","","3","2","0",""
"1627323119-13694","http://ufcstats.com/statistics/fighters?char=r&page=all","Tabatha","Ricci","Baby Shark","5' 1""","125 lbs.","61.0""","Orthodox","5","1","0",""
"1627323119-13778","http://ufcstats.com/statistics/fighters?char=r&page=all","Yoel","Romero","Soldier of God","6' 0""","185 lbs.","73.0""","Southpaw","13","5","0",""
"1627323119-13668","http://ufcstats.com/statistics/fighters?char=r&page=all","James","Reese","JP","5' 9""","155 lbs.","--","","11","10","0",""
"1627323119-13770","http://ufcstats.com/statistics/fighters?char=r&page=all","Pete","Rogers Jr.","The Heat","6' 0""","145 lbs.","--","","2","4","0",""
"1627323119-13790","http://ufcstats.com/statistics/fighters?char=r&page=all","Hilarie","Rose","","5' 3""","115 lbs.","63.0""","Orthodox","4","2","0",""
"1627323119-13806","http://ufcstats.com/statistics/fighters?char=r&page=all","Brandon","Royval","Raw Dawg","5' 9""","125 lbs.","68.0""","Southpaw","12","5","0",""
"1627323119-13700","http://ufcstats.com/statistics/fighters?char=r&page=all","Brad","Riddell","Quake","5' 7""","155 lbs.","71.0""","Orthodox","10","1","0",""
"1627323119-13652","http://ufcstats.com/statistics/fighters?char=r&page=all","Bec","Rawlings","Rowdy","5' 6""","125 lbs.","64.0""","Orthodox","7","8","0",""
"1627323119-13635","http://ufcstats.com/statistics/fighters?char=r&page=all","Jessica","Rakoczy","The Ragin'","5' 7""","115 lbs.","--","Orthodox","1","5","0",""
"1627323119-13771","http://ufcstats.com/statistics/fighters?char=r&page=all","Max","Rohskopf","Rated R","6' 1""","155 lbs.","71.0""","Orthodox","5","1","0",""
"1627323119-13711","http://ufcstats.com/statistics/fighters?char=r&page=all","Rafael","Rios","","--","150 lbs.","--","","4","2","0",""
"1627323119-13732","http://ufcstats.com/statistics/fighters?char=r&page=all","Tyrone","Roberts","Native Warrior","5' 9""","185 lbs.","--","Orthodox","43","12","1",""
"1627323119-13784","http://ufcstats.com/statistics/fighters?char=r&page=all","George","Roop","","6' 1""","135 lbs.","72.0""","Orthodox","15","13","1",""
"1627323119-13720","http://ufcstats.com/statistics/fighters?char=r&page=all","Jimmie","Rivera","El Terror","5' 4""","135 lbs.","68.0""","Orthodox","23","5","0",""
