firstname,lastname,nickname,height,weight,reach,stance,wins,losses,draws,belt
"Felipe","Silva","","6' 0""","155 lbs.","77.0""","Orthodox","8","2","0",""
"Landon","Showalter","The Show","6' 0""","185 lbs.","--","","11","19","1",""
"Darrill","Schoonover","The Boss","6' 2""","220 lbs.","--","Orthodox","14","8","0",""
"Nate","Schroeder","","6' 1""","230 lbs.","--","","11","10","0",""
"Hayato","Sakurai","Mach","5' 7""","168 lbs.","--","Orthodox","38","13","2",""
"Leslie","Smith","The Peacemaker","5' 9""","135 lbs.","66.0""","Orthodox","10","7","1",""
"Pete","Sell","Drago","5' 11""","170 lbs.","75.0""","Orthodox","10","7","0",""
"Gerald","Strebendt","The Finishing Machine","5' 9""","155 lbs.","--","Orthodox","9","7","0",""
"Jamey","Simmons","The Afro Samurai","5' 6""","145 lbs.","70.0""","Orthodox","7","3","0",""
"Semmy","Schilt","Hightower","6' 10""","265 lbs.","--","Orthodox","26","14","1",""
"Patrick","Smith","","6' 2""","225 lbs.","--","Orthodox","20","17","0",""
"Daniel","Swain","","5' 9""","145 lbs.","70.0""","Orthodox","20","10","1",""
"Richie","Smullen","","5' 9""","155 lbs.","68.0""","Orthodox","3","1","1",""
"Eric","Schafer","Red","6' 3""","185 lbs.","76.0""","Orthodox","14","8","2",""
"Scott","Shaffer","","5' 7""","145 lbs.","--","Orthodox","0","1","0",""
"Alexander","Shlemenko","Storm","5' 11""","185 lbs.","--","","56","9","0",""
"Dan","Severn","The Beast","6' 2""","250 lbs.","--","Southpaw","101","19","1",""
"Assuerio","Silva","","5' 10""","241 lbs.","--","Orthodox","16","8","0",""
"Mark","Scanlon","","5' 9""","170 lbs.","--","Orthodox","9","2","0",""
"Emiliano","Sordi","He-Man","6' 2""","205 lbs.","--","Orthodox","16","7","0",""
"Clifford","Starks","","6' 0""","185 lbs.","78.0""","Orthodox","13","3","0",""
"Brendan","Seguin","","6' 0""","185 lbs.","--","","23","19","1",""
"Jacob","Silva","Lil Animal","5' 5""","125 lbs.","67.0""","Orthodox","6","4","0",""
"Ben","Sosoli","Combat Wombat","6' 0""","265 lbs.","72.0""","Southpaw","7","3","0",""
"Joaquim","Silva","Netto BJJ","5' 8""","155 lbs.","69.0""","Southpaw","11","4","0",""
"Antonio","Schembri","Nino","5' 9""","205 lbs.","--","Orthodox","5","5","0",""
"Dmitry","Sosnovskiy","Wicked Machine","6' 3""","240 lbs.","77.0""","Orthodox","11","0","0",""
"Bentley","Syler","Bolivia","5' 4""","125 lbs.","--","Orthodox","5","1","0",""
"Ray","Seraille","","6' 3""","246 lbs.","--","","8","9","0",""
"Chad W.","Saunders","","5' 10""","170 lbs.","--","Orthodox","7","2","0",""
"Chris","Sanford","","5' 11""","185 lbs.","--","Orthodox","5","1","0",""
"Daniel","Sarafian","","5' 9""","185 lbs.","73.0""","Orthodox","10","6","0",""
"Ryuta","Sakurai","","5' 7""","183 lbs.","--","Orthodox","24","24","6",""
"Joe","Stevenson","Daddy","5' 7""","145 lbs.","70.0""","Orthodox","33","16","0",""
"Thiago","Santos","Marreta","6' 2""","205 lbs.","76.0""","Orthodox","21","9","0",""
"Elias","Silverio","Xuxu","5' 11""","155 lbs.","73.0""","Orthodox","13","3","0",""
"Wanderlei","Silva","The Axe Murderer","5' 11""","205 lbs.","74.0""","Orthodox","35","13","1",""
"Kim In","Seok","","5' 6""","145 lbs.","--","Orthodox","3","6","0",""
"Maria","Silva","Viuva Negra","5' 3""","115 lbs.","--","","6","0","0",""
"Rob","Sinclair","","5' 8""","155 lbs.","--","","13","5","0",""
"Carl","Seumanutafa","","6' 1""","255 lbs.","--","Orthodox","10","8","0",""
"Everett","Sims","Sexual Chocolate","6' 5""","260 lbs.","77.0""","Southpaw","4","1","0",""
"Dion","Staring","Soldier","6' 1""","235 lbs.","--","Orthodox","35","14","0",""
"AJ","Siscoe","Let's Go","5' 7""","135 lbs.","--","","1","2","0",""
"Jesse","Strader","Sui Generis","5' 7""","135 lbs.","70.0""","Orthodox","5","2","0",""
"Diego","Saraiva","The Octopus","5' 6""","155 lbs.","--","Orthodox","22","20","1",""
"Lumumba","Sayers","","6' 0""","185 lbs.","--","","6","5","0",""
"Magomed","Sultanakhmedov","","6' 2""","185 lbs.","--","Southpaw","18","6","0",""
"Shimon","Smotritsky","Assassin","6' 2""","170 lbs.","--","","7","0","0",""
"Mark","Schultz","","5' 9""","200 lbs.","--","Orthodox","1","1","0",""
"George","Sotiropoulos","","5' 10""","155 lbs.","71.0""","Orthodox","14","7","0",""
"Devin","Smyth","","5' 10""","170 lbs.","72.0""","Switch","4","2","0",""
"Alex","Stiebling","The Brazilian Killa","6' 2""","205 lbs.","--","Southpaw","19","11","1",""
"Antonina","Shevchenko","La Pantera","5' 8""","125 lbs.","67.0""","Southpaw","9","3","0",""
"Eric","Shelton","Showtime","5' 6""","125 lbs.","68.0""","Orthodox","12","6","0",""
"Josh","Stansbury","The Sandman","6' 2""","205 lbs.","74.0""","Orthodox","4","8","0",""
"Daniel","Spohn","Dragon","6' 4""","205 lbs.","79.0""","Southpaw","15","6","0",""
"Fredy","Serrano","El Profe","5' 3""","125 lbs.","65.0""","Orthodox","3","2","0",""
"Leonardo","Silva de Oliveira","Cabecao","6' 2""","185 lbs.","--","Orthodox","12","4","0",""
"Vinicius","Salvador","","--","125 lbs.","--","","12","4","0",""
"Kestutis","Smirnovas","","5' 10""","200 lbs.","--","Orthodox","24","8","2",""
"Gilbert","Smith","","5' 9""","185 lbs.","--","Southpaw","12","6","0",""
"Hector","Sandoval","Kid Alex","5' 2""","125 lbs.","64.0""","Orthodox","14","4","0",""
"Ivan","Shtyrkov","Ural Hulk","6' 0""","205 lbs.","74.0""","Orthodox","15","0","1",""
"Matt","Sayles","","5' 7""","145 lbs.","68.0""","Orthodox","8","3","0",""
"Bobby","Sanchez","The Kid","5' 7""","155 lbs.","--","Orthodox","10","35","0",""
