web-scraper-order,web-scraper-start-url,First,Last,Nickname,Height,Weight,Reach,Stance,Wins,Losses,Draws,Belt
"1627323226-14227","http://ufcstats.com/statistics/fighters?char=t&page=all","Yoshiki","Takahashi","Kazuo","5' 11""","199 lbs.","--","Southpaw","30","27","3",""
"1627323226-14239","http://ufcstats.com/statistics/fighters?char=t&page=all","Issei","Tamura","","5' 5""","135 lbs.","63.0""","Orthodox","10","8","0",""
"1627323226-14234","http://ufcstats.com/statistics/fighters?char=t&page=all","Nordine","Taleb","","6' 1""","170 lbs.","74.0""","Orthodox","15","7","0",""
"1627323226-14268","http://ufcstats.com/statistics/fighters?char=t&page=all","James","Terry","Intensity","5' 10""","170 lbs.","--","Orthodox","19","9","0",""
"1627323226-14217","http://ufcstats.com/statistics/fighters?char=t&page=all","","null","null","null","null","null","null","null","null","null","null"
"1627323226-14284","http://ufcstats.com/statistics/fighters?char=t&page=all","James","Thompson","The Colossus","6' 5""","265 lbs.","--","Orthodox","20","16","0",""
"1627323226-14231","http://ufcstats.com/statistics/fighters?char=t&page=all","Yoshihiro","Takayama","","6' 5""","280 lbs.","--","Orthodox","1","4","0",""
"1627323226-14317","http://ufcstats.com/statistics/fighters?char=t&page=all","Minoru","Toyonaga","","5' 11""","195 lbs.","--","Southpaw","2","5","0",""
"1627323226-14329","http://ufcstats.com/statistics/fighters?char=t&page=all","Aaron","Trujillo","","5' 5""","125 lbs.","--","","0","1","0",""
"1627323226-14336","http://ufcstats.com/statistics/fighters?char=t&page=all","Jumabieke","Tuerxun","The Wild Wolf","5' 7""","135 lbs.","--","Orthodox","19","4","1",""
"1627323226-14305","http://ufcstats.com/statistics/fighters?char=t&page=all","Ilia","Topuria","El Matador","5' 7""","145 lbs.","69.0""","Orthodox","11","0","0",""
"1627323226-14327","http://ufcstats.com/statistics/fighters?char=t&page=all","Antonio","Trocoli","Malvado","6' 5""","205 lbs.","82.0""","Orthodox","11","3","0",""
"1627323226-14274","http://ufcstats.com/statistics/fighters?char=t&page=all","Brandon","Thatch","Rukus","6' 2""","170 lbs.","74.0""","Switch","11","5","0",""
"1627323226-14232","http://ufcstats.com/statistics/fighters?char=t&page=all","Makoto","Takimoto","","5' 7""","205 lbs.","--","Southpaw","6","5","0",""
"1627323226-14286","http://ufcstats.com/statistics/fighters?char=t&page=all","Stephen","Thompson","Wonderboy","6' 0""","170 lbs.","75.0""","Orthodox","16","5","1",""
"1627323226-14287","http://ufcstats.com/statistics/fighters?char=t&page=all","Josh","Thomson","The Punk","5' 10""","155 lbs.","71.0""","Orthodox","22","9","0",""
"1627323226-14306","http://ufcstats.com/statistics/fighters?char=t&page=all","Anthony","Torres","The Crush","5' 8""","170 lbs.","--","Orthodox","5","3","0",""
"1627323226-14307","http://ufcstats.com/statistics/fighters?char=t&page=all","Miguel","Torres","","5' 9""","135 lbs.","76.0""","Orthodox","44","9","0",""
"1627323226-14262","http://ufcstats.com/statistics/fighters?char=t&page=all","Ewerton","Teixeira","","6' 1""","242 lbs.","--","","3","1","0",""
"1627323226-14219","http://ufcstats.com/statistics/fighters?char=t&page=all","Amber","Tackett","","--","115 lbs.","--","","1","3","0",""
"1627323226-14259","http://ufcstats.com/statistics/fighters?char=t&page=all","Shawn","Teed","","6' 5""","265 lbs.","--","Orthodox","5","2","0",""
"1627323226-14245","http://ufcstats.com/statistics/fighters?char=t&page=all","Gary","Tapusoa","","5' 7""","185 lbs.","--","","8","3","0",""
"1627323226-14285","http://ufcstats.com/statistics/fighters?char=t&page=all","Oli","Thompson","","6' 1""","242 lbs.","--","Orthodox","17","10","0",""
"1627323226-14304","http://ufcstats.com/statistics/fighters?char=t&page=all","Carl","Toomey","","--","--","--","","3","3","0",""
"1627323226-14294","http://ufcstats.com/statistics/fighters?char=t&page=all","Brett","Tillis","","--","145 lbs.","--","","0","0","0",""
"1627323226-14289","http://ufcstats.com/statistics/fighters?char=t&page=all","Josh","Thornburg","","6' 0""","170 lbs.","--","","8","8","0",""
"1627323226-14342","http://ufcstats.com/statistics/fighters?char=t&page=all","Albert","Tumenov","Einstein","5' 11""","170 lbs.","73.0""","Orthodox","18","4","0",""
"1627323226-14272","http://ufcstats.com/statistics/fighters?char=t&page=all","Motonobu","Tezuka","","5' 7""","135 lbs.","--","Southpaw","28","12","7",""
"1627323226-14273","http://ufcstats.com/statistics/fighters?char=t&page=all","Jason","Thacker","","5' 10""","185 lbs.","--","Orthodox","0","1","0",""
"1627323226-14308","http://ufcstats.com/statistics/fighters?char=t&page=all","Ronys","Torres","","5' 7""","155 lbs.","--","Orthodox","35","5","0",""
"1627323226-14257","http://ufcstats.com/statistics/fighters?char=t&page=all","J.T","Taylor","The Outlaw","5' 10""","--","--","","7","7","0",""
"1627323226-14348","http://ufcstats.com/statistics/fighters?char=t&page=all","Austin","Tweedy","","5' 9""","155 lbs.","--","Orthodox","8","2","0",""
"1627323226-14265","http://ufcstats.com/statistics/fighters?char=t&page=all","Herman","Terrado","","--","170 lbs.","--","","15","3","1",""
"1627323226-14335","http://ufcstats.com/statistics/fighters?char=t&page=all","Gavin","Tucker","Guv'nor","5' 6""","145 lbs.","66.0""","Southpaw","13","2","0",""
"1627323226-14238","http://ufcstats.com/statistics/fighters?char=t&page=all","Akitoshi","Tamura","The Ironman","5' 9""","135 lbs.","70.0""","Orthodox","21","18","2",""
"1627323226-14256","http://ufcstats.com/statistics/fighters?char=t&page=all","Danielle","Taylor","Dynamite","5' 0""","115 lbs.","60.0""","Orthodox","9","4","0",""
"1627323226-14341","http://ufcstats.com/statistics/fighters?char=t&page=all","Teila","Tuli","","6' 0""","430 lbs.","--","Orthodox","0","1","0",""
"1627323226-14346","http://ufcstats.com/statistics/fighters?char=t&page=all","Courtney","Turner","","6' 2""","170 lbs.","--","","0","3","0",""
"1627323226-14326","http://ufcstats.com/statistics/fighters?char=t&page=all","Michael","Trizano","The Lone Wolf","5' 11""","145 lbs.","71.0""","Orthodox","10","1","0",""
"1627323226-14244","http://ufcstats.com/statistics/fighters?char=t&page=all","Manny","Tapia","The Mangler","5' 5""","135 lbs.","67.0""","Orthodox","12","14","1",""
"1627323226-14347","http://ufcstats.com/statistics/fighters?char=t&page=all","Jalin","Turner","The Tarantula","6' 3""","155 lbs.","77.0""","Southpaw","10","5","0",""
"1627323226-14276","http://ufcstats.com/statistics/fighters?char=t&page=all","Nik","Theotikos","","--","185 lbs.","--","Orthodox","6","2","0",""
"1627323226-14283","http://ufcstats.com/statistics/fighters?char=t&page=all","Nick","Thompson","The Goat","6' 1""","170 lbs.","74.0""","Orthodox","38","14","1",""
"1627323226-14218","http://ufcstats.com/statistics/fighters?char=t&page=all","Osamu","Tachihikari","","6' 5""","300 lbs.","--","Orthodox","0","4","0",""
"1627323226-14300","http://ufcstats.com/statistics/fighters?char=t&page=all","Kazuki","Tokudome","","5' 11""","155 lbs.","73.0""","Southpaw","18","7","1",""
"1627323226-14295","http://ufcstats.com/statistics/fighters?char=t&page=all","Ryan","Tobar","","--","155 lbs.","--","","3","3","0",""
"1627323226-14278","http://ufcstats.com/statistics/fighters?char=t&page=all","Din","Thomas","Dinyero","5' 9""","155 lbs.","--","Orthodox","26","9","0",""
"1627323226-14253","http://ufcstats.com/statistics/fighters?char=t&page=all","Torrance","Taylor","","5' 7""","155 lbs.","--","","13","8","1",""
"1627323226-14325","http://ufcstats.com/statistics/fighters?char=t&page=all","Damien","Trites","The Omen","5' 11""","165 lbs.","--","","7","6","0",""
"1627323226-14260","http://ufcstats.com/statistics/fighters?char=t&page=all","Glover","Teixeira","","6' 2""","205 lbs.","76.0""","Orthodox","32","7","0",""
"1627323226-14230","http://ufcstats.com/statistics/fighters?char=t&page=all","Hiroyuki","Takaya","Streetfight Bancho","5' 6""","139 lbs.","--","Orthodox","21","14","2",""
"1627323226-14322","http://ufcstats.com/statistics/fighters?char=t&page=all","Angelo","Trevino","Baby Monsta","5' 11""","170 lbs.","--","Switch","7","3","0",""
"1627323226-14266","http://ufcstats.com/statistics/fighters?char=t&page=all","Dave","Terrel","The Bionic","5' 8""","170 lbs.","--","Southpaw","7","7","0",""
"1627323226-14293","http://ufcstats.com/statistics/fighters?char=t&page=all","Darren","Till","The Gorilla","6' 0""","185 lbs.","74.0""","Southpaw","18","3","1",""
"1627323226-14334","http://ufcstats.com/statistics/fighters?char=t&page=all","Jon","Tuck","Super Saiyan","5' 11""","155 lbs.","73.0""","Orthodox","10","5","0",""
"1627323226-14314","http://ufcstats.com/statistics/fighters?char=t&page=all","Desmond","Torres","","5' 6""","135 lbs.","69.0""","Orthodox","7","2","0",""
"1627323226-14252","http://ufcstats.com/statistics/fighters?char=t&page=all","Jesse","Taylor","JT Money","6' 0""","170 lbs.","73.0""","Orthodox","31","15","0",""
"1627323226-14332","http://ufcstats.com/statistics/fighters?char=t&page=all","Arman","Tsarukyan","Ahalkalakets","5' 7""","155 lbs.","72.0""","Orthodox","16","2","0",""
"1627323226-14249","http://ufcstats.com/statistics/fighters?char=t&page=all","Jeremy","Tavares","","--","135 lbs.","--","","1","6","0",""
"1627323226-14233","http://ufcstats.com/statistics/fighters?char=t&page=all","Oleg","Taktarov","The Russian Bear","6' 0""","210 lbs.","--","Orthodox","17","5","2",""
"1627323226-14281","http://ufcstats.com/statistics/fighters?char=t&page=all","Joel","Thomas","The NIce Guy","5' 10""","170 lbs.","--","","5","2","0",""
"1627323226-14321","http://ufcstats.com/statistics/fighters?char=t&page=all","Francisco","Trevino","Sitkayan","5' 9""","155 lbs.","70.0""","Orthodox","13","3","0",""
"1627323226-14324","http://ufcstats.com/statistics/fighters?char=t&page=all","Francisco","Trinaldo","Massaranduba","5' 9""","155 lbs.","70.0""","Southpaw","26","8","0",""
"1627323226-14280","http://ufcstats.com/statistics/fighters?char=t&page=all","Noah","Thomas","","5' 9""","135 lbs.","--","Orthodox","14","7","0",""
"1627323226-14254","http://ufcstats.com/statistics/fighters?char=t&page=all","Louis","Taylor","Handgunz","5' 11""","185 lbs.","--","Orthodox","13","4","0",""
"1627323226-14344","http://ufcstats.com/statistics/fighters?char=t&page=all","Anton","Turkalj","The Pleasure Man","6' 4""","205 lbs.","--","","7","0","0",""
"1627323226-14318","http://ufcstats.com/statistics/fighters?char=t&page=all","Roberto","Traven","Spider","6' 3""","227 lbs.","--","Orthodox","6","4","1",""
"1627323226-14337","http://ufcstats.com/statistics/fighters?char=t&page=all","Tom","Tuggle","The Law","6' 2""","250 lbs.","--","Orthodox","0","3","0",""
"1627323226-14229","http://ufcstats.com/statistics/fighters?char=t&page=all","Daiju","Takase","","6' 0""","170 lbs.","--","Southpaw","12","15","2",""
"1627323226-14299","http://ufcstats.com/statistics/fighters?char=t&page=all","Anatoly","Tokov","","5' 10""","185 lbs.","--","","25","2","0",""
"1627323226-14349","http://ufcstats.com/statistics/fighters?char=t&page=all","Marcin","Tybura","Tybur","6' 3""","249 lbs.","78.0""","Orthodox","22","6","0",""
"1627323226-14270","http://ufcstats.com/statistics/fighters?char=t&page=all","David","Teymur","","5' 9""","155 lbs.","73.0""","Southpaw","8","2","0",""
"1627323226-14303","http://ufcstats.com/statistics/fighters?char=t&page=all","Masanori","Tonooka","","5' 8""","185 lbs.","--","Orthodox","1","2","0",""
"1627323226-14319","http://ufcstats.com/statistics/fighters?char=t&page=all","Bryan","Travers","","--","155 lbs.","--","","15","4","0",""
"1627323226-14288","http://ufcstats.com/statistics/fighters?char=t&page=all","Simeon","Thoresen","The Grin","6' 1""","170 lbs.","79.0""","Orthodox","17","6","1",""
"1627323226-14220","http://ufcstats.com/statistics/fighters?char=t&page=all","Eugenio","Tadeu","","5' 8""","160 lbs.","--","Orthodox","2","3","0",""
"1627323226-14236","http://ufcstats.com/statistics/fighters?char=t&page=all","Eli","Tamez","Tomahawk","5' 7""","135 lbs.","--","","10","0","0",""
"1627323226-14240","http://ufcstats.com/statistics/fighters?char=t&page=all","Jason","Tan","","5' 10""","170 lbs.","--","Orthodox","5","3","0",""
"1627323226-14250","http://ufcstats.com/statistics/fighters?char=t&page=all","Brad","Tavares","","6' 1""","185 lbs.","74.0""","Orthodox","19","7","0",""
"1627323226-14312","http://ufcstats.com/statistics/fighters?char=t&page=all","Abram","Torres","","5' 10""","170 lbs.","--","","4","3","0",""
"1627323226-14315","http://ufcstats.com/statistics/fighters?char=t&page=all","Salim","Touahri","Grizzly","5' 10""","170 lbs.","72.0""","Orthodox","10","4","0",""
"1627323226-14226","http://ufcstats.com/statistics/fighters?char=t&page=all","Nobuhiko","Takada","","6' 0""","220 lbs.","--","Southpaw","2","6","2",""
"1627323226-14290","http://ufcstats.com/statistics/fighters?char=t&page=all","Gleison","Tibau","","5' 10""","155 lbs.","71.0""","Southpaw","33","14","0",""
"1627323226-14292","http://ufcstats.com/statistics/fighters?char=t&page=all","Nolan","Ticman","","5' 6""","125 lbs.","--","Orthodox","4","3","0",""
"1627323226-14267","http://ufcstats.com/statistics/fighters?char=t&page=all","David","Terrell","The Soul Assassin","6' 1""","185 lbs.","--","Southpaw","6","2","0",""
"1627323226-14331","http://ufcstats.com/statistics/fighters?char=t&page=all","Abel","Trujillo","Killa","5' 8""","155 lbs.","70.0""","Orthodox","15","8","0",""
"1627323226-14333","http://ufcstats.com/statistics/fighters?char=t&page=all","Chris","Tuchscherer","The Crowbar","6' 2""","258 lbs.","76.0""","Orthodox","21","4","0",""
"1627323226-14313","http://ufcstats.com/statistics/fighters?char=t&page=all","Jose","Torres","Shorty","5' 4""","125 lbs.","65.0""","Orthodox","8","1","0",""
"1627323226-14291","http://ufcstats.com/statistics/fighters?char=t&page=all","Chris","Tickle","BadBoy","5' 9""","155 lbs.","--","","9","9","0",""
"1627323226-14247","http://ufcstats.com/statistics/fighters?char=t&page=all","Deividas","Taurosevicius","","5' 9""","145 lbs.","68.0""","Southpaw","17","5","0",""
"1627323226-14320","http://ufcstats.com/statistics/fighters?char=t&page=all","Alexander","Trevino","","--","170 lbs.","--","","7","7","0",""
"1627323226-14251","http://ufcstats.com/statistics/fighters?char=t&page=all","Paul","Taylor","Relentless","6' 0""","155 lbs.","72.0""","Orthodox","11","6","1",""
"1627323226-14343","http://ufcstats.com/statistics/fighters?char=t&page=all","Ricky","Turcios","Pretty","5' 9""","135 lbs.","71.0""","Orthodox","8","1","0",""
