web-scraper-order,web-scraper-start-url,First,Last,Nickname,Height,Weight,Reach,Stance,Wins,Losses,Draws,Belt
"1627323275-14359","http://ufcstats.com/statistics/fighters?char=u&page=all","Zach","Underwood","","6' 2""","185 lbs.","--","","13","7","0",""
"1627323275-14351","http://ufcstats.com/statistics/fighters?char=u&page=all","Alberto","Uda","","6' 3""","185 lbs.","--","Orthodox","12","2","0",""
"1627323275-14357","http://ufcstats.com/statistics/fighters?char=u&page=all","Gasan","Umalatov","Cobra","5' 11""","170 lbs.","71.0""","Orthodox","17","4","2",""
"1627323275-14360","http://ufcstats.com/statistics/fighters?char=u&page=all","Caol","Uno","Uno Shoten","5' 7""","155 lbs.","70.0""","Southpaw","33","19","5",""
"1627323275-14367","http://ufcstats.com/statistics/fighters?char=u&page=all","Darren","Uyenoyama","BC","5' 6""","125 lbs.","65.0""","Orthodox","10","6","0",""
"1627323275-14356","http://ufcstats.com/statistics/fighters?char=u&page=all","Carlos","Ulberg","Black Jag","6' 4""","205 lbs.","77.0""","Orthodox","5","1","0",""
"1627323275-14364","http://ufcstats.com/statistics/fighters?char=u&page=all","Nick","Urso","","5' 6""","125 lbs.","66.0""","Southpaw","10","3","0",""
"1627323275-14361","http://ufcstats.com/statistics/fighters?char=u&page=all","Kengo","Ura","Uraken","5' 9""","165 lbs.","--","","14","12","2",""
"1627323275-14362","http://ufcstats.com/statistics/fighters?char=u&page=all","Hector","Urbina","El Toro","5' 11""","170 lbs.","73.0""","Orthodox","17","10","1",""
"1627323275-14352","http://ufcstats.com/statistics/fighters?char=u&page=all","Ryuki","Ueyama","","5' 11""","180 lbs.","--","Southpaw","12","18","5",""
"1627323275-14353","http://ufcstats.com/statistics/fighters?char=u&page=all","Christian","Uflacker","","5' 11""","170 lbs.","--","","5","0","0",""
"1627323275-14350","http://ufcstats.com/statistics/fighters?char=u&page=all","","null","null","null","null","null","null","null","null","null","null"
"1627323275-14358","http://ufcstats.com/statistics/fighters?char=u&page=all","Jeremy","Umphries","","--","160 lbs.","--","","5","2","0",""
"1627323275-14355","http://ufcstats.com/statistics/fighters?char=u&page=all","Tagir","Ulanbekov","","5' 7""","125 lbs.","70.0""","Southpaw","13","1","0",""
"1627323275-14366","http://ufcstats.com/statistics/fighters?char=u&page=all","Kamaru","Usman","The Nigerian Nightmare","6' 0""","170 lbs.","76.0""","Switch","19","1","0",""
"1627323275-14354","http://ufcstats.com/statistics/fighters?char=u&page=all","Andy","Uhrich","","6' 0""","170 lbs.","--","","11","6","0",""
"1627323275-14363","http://ufcstats.com/statistics/fighters?char=u&page=all","Elias","Urbina","","6' 3""","185 lbs.","77.0""","Southpaw","3","1","0",""
"1627323275-14365","http://ufcstats.com/statistics/fighters?char=u&page=all","Yasuhiro","Urushitani","","5' 5""","125 lbs.","--","Southpaw","21","8","6",""
