web-scraper-order,web-scraper-start-url,First,Last,Nickname,Height,Weight,Reach,Stance,Wins,Losses,Draws,Belt
"1627323372-14370","http://ufcstats.com/statistics/fighters?char=v&page=all","Egidijus","Valavicius","","6' 0""","200 lbs.","--","Orthodox","29","12","0",""
"1627323372-14411","http://ufcstats.com/statistics/fighters?char=v&page=all","Joe","Veres","","5' 7""","155 lbs.","--","Orthodox","4","3","0",""
"1627323372-14396","http://ufcstats.com/statistics/fighters?char=v&page=all","Manny","Vazquez","","5' 10""","125 lbs.","72.0""","Orthodox","11","2","0",""
"1627323372-14415","http://ufcstats.com/statistics/fighters?char=v&page=all","Bryan","Vetell","","6' 3""","265 lbs.","--","Southpaw","4","3","0",""
"1627323372-14424","http://ufcstats.com/statistics/fighters?char=v&page=all","Ketlen","Vieira","Fenomeno","5' 8""","135 lbs.","68.0""","Orthodox","11","2","0",""
"1627323372-14379","http://ufcstats.com/statistics/fighters?char=v&page=all","Matt","Van Buren","Gutter","6' 5""","205 lbs.","--","","7","6","0",""
"1627323372-14446","http://ufcstats.com/statistics/fighters?char=v&page=all","Mark","Vorgeas","","5' 10""","135 lbs.","--","","5","3","1",""
"1627323372-14421","http://ufcstats.com/statistics/fighters?char=v&page=all","James","Vick","The Texecutioner","6' 3""","155 lbs.","76.0""","Orthodox","13","5","0",""
"1627323372-14427","http://ufcstats.com/statistics/fighters?char=v&page=all","Alejandro","Villalobos","","5' 7""","145 lbs.","--","","17","5","0",""
"1627323372-14436","http://ufcstats.com/statistics/fighters?char=v&page=all","Yuri","Villefort","","6' 0""","170 lbs.","73.0""","Orthodox","10","5","0",""
"1627323372-14382","http://ufcstats.com/statistics/fighters?char=v&page=all","Lloyd","Van Dams","","6' 1""","240 lbs.","--","Southpaw","0","1","0",""
"1627323372-14381","http://ufcstats.com/statistics/fighters?char=v&page=all","Ron","van Clief","The Black Dragon","5' 10""","190 lbs.","--","Orthodox","0","1","0",""
"1627323372-14369","http://ufcstats.com/statistics/fighters?char=v&page=all","Richie","Vaculik","Vas","5' 6""","125 lbs.","69.0""","Orthodox","10","4","0",""
"1627323372-14417","http://ufcstats.com/statistics/fighters?char=v&page=all","Hugo","Viana","Wolverine","5' 6""","135 lbs.","67.0""","Orthodox","8","4","0",""
"1627323372-14391","http://ufcstats.com/statistics/fighters?char=v&page=all","Guilherme","Vasconcelos","Bomba","6' 0""","185 lbs.","--","Orthodox","9","4","0",""
"1627323372-14419","http://ufcstats.com/statistics/fighters?char=v&page=all","Polyana","Viana","Dama de Ferro","5' 5""","115 lbs.","67.0""","Orthodox","12","4","0",""
"1627323372-14447","http://ufcstats.com/statistics/fighters?char=v&page=all","Igor","Vovchanchyn","Ice Cold","5' 8""","205 lbs.","--","Orthodox","55","10","0",""
"1627323372-14383","http://ufcstats.com/statistics/fighters?char=v&page=all","Chad","Vance","","6' 0""","185 lbs.","--","Orthodox","7","5","0",""
"1627323372-14378","http://ufcstats.com/statistics/fighters?char=v&page=all","Mike","van Arsdale","","6' 2""","205 lbs.","--","Switch","8","5","0",""
"1627323372-14389","http://ufcstats.com/statistics/fighters?char=v&page=all","Kazula","Vargas","","5' 8""","155 lbs.","71.0""","Southpaw","12","4","0",""
"1627323372-14412","http://ufcstats.com/statistics/fighters?char=v&page=all","Nikolay","Veretennikov","","6' 0""","170 lbs.","--","","9","3","0",""
"1627323372-14441","http://ufcstats.com/statistics/fighters?char=v&page=all","Alexander","Volkanovski","The Great","5' 6""","145 lbs.","71.0""","Orthodox","22","1","0",""
"1627323372-14414","http://ufcstats.com/statistics/fighters?char=v&page=all","Renato","Verissimo","Charuto","6' 1""","170 lbs.","--","Orthodox","7","5","0",""
"1627323372-14413","http://ufcstats.com/statistics/fighters?char=v&page=all","CJ","Vergara","","5' 6""","135 lbs.","--","","8","2","1",""
