web-scraper-order,web-scraper-start-url,First,Last,Nickname,Height,Weight,Reach,Stance,Wins,Losses,Draws,Belt
"1627323416-14470","http://ufcstats.com/statistics/fighters?char=w&page=all","Andy","Wang","","5' 6""","155 lbs.","--","Orthodox","7","8","1",""
"1627323416-14522","http://ufcstats.com/statistics/fighters?char=w&page=all","Orlando","Wiet","The Gladiator","5' 10""","170 lbs.","--","Southpaw","1","5","0",""
"1627323416-14464","http://ufcstats.com/statistics/fighters?char=w&page=all","Jim","Wallhead","Judo","5' 10""","170 lbs.","--","Orthodox","29","11","0",""
"1627323416-14528","http://ufcstats.com/statistics/fighters?char=w&page=all","Rob","Wilkinson","Razor","6' 3""","185 lbs.","80.0""","Orthodox","11","2","0",""
"1627323416-14463","http://ufcstats.com/statistics/fighters?char=w&page=all","James","Wallace","Jesse","5' 10""","155 lbs.","69.0""","Orthodox","5","2","0",""
"1627323416-14530","http://ufcstats.com/statistics/fighters?char=w&page=all","Tedd","Williams","","6' 1""","275 lbs.","--","Orthodox","7","1","0",""
"1627323416-14519","http://ufcstats.com/statistics/fighters?char=w&page=all","Emily","Whitmire","Spitfire","5' 5""","115 lbs.","63.0""","Orthodox","4","4","0",""
"1627323416-14529","http://ufcstats.com/statistics/fighters?char=w&page=all","James","Wilks","Lightning","6' 1""","170 lbs.","75.0""","Orthodox","7","4","0",""
"1627323416-14508","http://ufcstats.com/statistics/fighters?char=w&page=all","Aaron","Wetherspoon","Slam","--","170 lbs.","--","","9","5","0",""
"1627323416-14536","http://ufcstats.com/statistics/fighters?char=w&page=all","Jordan","Williams","Bomaye","6' 1""","185 lbs.","75.0""","Southpaw","9","5","0",""
"1627323416-14512","http://ufcstats.com/statistics/fighters?char=w&page=all","Alex","White","The Spartan","6' 0""","155 lbs.","71.0""","Southpaw","13","6","0",""
"1627323416-14483","http://ufcstats.com/statistics/fighters?char=w&page=all","Ron","Waterman","H20","6' 2""","280 lbs.","--","Orthodox","16","6","2",""
"1627323416-14461","http://ufcstats.com/statistics/fighters?char=w&page=all","Jeremy","Wallace","","5' 9""","--","--","","4","6","0",""
"1627323416-14507","http://ufcstats.com/statistics/fighters?char=w&page=all","Sheldon","Westcott","","6' 1""","170 lbs.","71.0""","Southpaw","10","3","1",""
"1627323416-14482","http://ufcstats.com/statistics/fighters?char=w&page=all","Kazuhisa","Watanabe","","5' 6""","139 lbs.","--","","0","1","0",""
"1627323416-14541","http://ufcstats.com/statistics/fighters?char=w&page=all","Chris","Wilson","The Professor","6' 1""","170 lbs.","75.0""","Orthodox","18","10","0",""
"1627323416-14499","http://ufcstats.com/statistics/fighters?char=w&page=all","Daniel","Weichel","The Weasel","5' 10""","145 lbs.","70.0""","","39","9","0",""
"1627323416-14465","http://ufcstats.com/statistics/fighters?char=w&page=all","Cory","Walmsley","Hardcore","6' 0""","205 lbs.","--","Orthodox","8","2","0",""
"1627323416-14489","http://ufcstats.com/statistics/fighters?char=w&page=all","Kyle","Watson","","6' 0""","155 lbs.","--","Southpaw","13","8","1",""
"1627323416-14451","http://ufcstats.com/statistics/fighters?char=w&page=all","Neil","Wain","Old School","5' 10""","242 lbs.","--","Orthodox","13","4","0",""
"1627323416-14562","http://ufcstats.com/statistics/fighters?char=w&page=all","Hunter","Worsham","The Future","--","185 lbs.","--","","7","3","0",""
"1627323416-14518","http://ufcstats.com/statistics/fighters?char=w&page=all","Mitch","Whitesel","","5' 9""","185 lbs.","--","","17","27","0",""
"1627323416-14570","http://ufcstats.com/statistics/fighters?char=w&page=all","Wu","Yanan","Mulan","5' 8""","125 lbs.","66.0""","Orthodox","11","4","0",""
"1627323416-14448","http://ufcstats.com/statistics/fighters?char=w&page=all","","null","null","null","null","null","null","null","null","null","null"
"1627323416-14473","http://ufcstats.com/statistics/fighters?char=w&page=all","Curt","Warburton","","6' 0""","155 lbs.","73.0""","Orthodox","13","6","0",""
"1627323416-14543","http://ufcstats.com/statistics/fighters?char=w&page=all","Jonathan","Wilson","Johnny Bravo","6' 2""","205 lbs.","75.0""","Southpaw","7","3","0",""
"1627323416-14553","http://ufcstats.com/statistics/fighters?char=w&page=all","Ray","Wizard","","--","--","--","","0","1","0",""
"1627323416-14549","http://ufcstats.com/statistics/fighters?char=w&page=all","Eric","Wisely","Little Lee","5' 8""","145 lbs.","--","Southpaw","26","9","1",""
"1627323416-14492","http://ufcstats.com/statistics/fighters?char=w&page=all","Tom","Watson","Kong","6' 1""","185 lbs.","73.0""","Orthodox","17","9","0",""
"1627323416-14546","http://ufcstats.com/statistics/fighters?char=w&page=all","Eddie","Wineland","","5' 7""","135 lbs.","69.0""","Orthodox","24","15","1",""
"1627323416-14487","http://ufcstats.com/statistics/fighters?char=w&page=all","Sam","Watford","","--","155 lbs.","--","","2","2","0",""
"1627323416-14452","http://ufcstats.com/statistics/fighters?char=w&page=all","TJ","Waldburger","","5' 11""","170 lbs.","75.0""","Orthodox","16","9","0",""
"1627323416-14558","http://ufcstats.com/statistics/fighters?char=w&page=all","Tyron","Woodley","The Chosen One","5' 9""","170 lbs.","74.0""","Orthodox","19","7","1",""
"1627323416-14454","http://ufcstats.com/statistics/fighters?char=w&page=all","Andre","Walker","","5' 11""","205 lbs.","--","Southpaw","1","5","0",""
"1627323416-14466","http://ufcstats.com/statistics/fighters?char=w&page=all","Richard","Walsh","Filthy Rich","6' 0""","170 lbs.","73.0""","Orthodox","9","5","0",""
"1627323416-14478","http://ufcstats.com/statistics/fighters?char=w&page=all","Brian","Warren","Mr. Unbreakable","6' 0""","185 lbs.","--","Orthodox","18","17","1",""
"1627323416-14460","http://ufcstats.com/statistics/fighters?char=w&page=all","Rodney","Wallace","Shonuff the Master","5' 9""","205 lbs.","72.0""","Switch","26","15","1",""
"1627323416-14479","http://ufcstats.com/statistics/fighters?char=w&page=all","Merritt","Warren","","5' 10""","155 lbs.","--","Southpaw","3","3","0",""
"1627323416-14567","http://ufcstats.com/statistics/fighters?char=w&page=all","Chris","Wright","","--","--","--","","8","5","1",""
"1627323416-14459","http://ufcstats.com/statistics/fighters?char=w&page=all","Crafton","Wallace","Blaze","6' 0""","185 lbs.","--","Orthodox","18","6","1",""
"1627323416-14471","http://ufcstats.com/statistics/fighters?char=w&page=all","Sai","Wang","The Fire Kylin","6' 0""","170 lbs.","--","Southpaw","20","6","1",""
"1627323416-14561","http://ufcstats.com/statistics/fighters?char=w&page=all","Cal","Worsham","","5' 11""","230 lbs.","--","Orthodox","13","10","0",""
"1627323416-14491","http://ufcstats.com/statistics/fighters?char=w&page=all","Walel","Watson","The Gazelle","5' 11""","135 lbs.","75.0""","Orthodox","14","10","0",""
"1627323416-14560","http://ufcstats.com/statistics/fighters?char=w&page=all","Sean","Woodson","The Sniper","6' 2""","145 lbs.","78.0""","Orthodox","8","1","0",""
"1627323416-14521","http://ufcstats.com/statistics/fighters?char=w&page=all","Adam","Wieczorek","Siwy","6' 5""","250 lbs.","81.0""","Orthodox","10","2","0",""
"1627323416-14517","http://ufcstats.com/statistics/fighters?char=w&page=all","Garett","Whiteley","Goodnight","6' 0""","155 lbs.","72.0""","Orthodox","7","3","0",""
"1627323416-14526","http://ufcstats.com/statistics/fighters?char=w&page=all","Aaron","Wilkinson","The Daywalker","5' 10""","155 lbs.","--","","11","7","0",""
"1627323416-14506","http://ufcstats.com/statistics/fighters?char=w&page=all","Dustin","West","","5' 11""","170 lbs.","--","","6","6","0",""
"1627323416-14511","http://ufcstats.com/statistics/fighters?char=w&page=all","Steve","White","","5' 11""","175 lbs.","--","","1","4","0",""
"1627323416-14542","http://ufcstats.com/statistics/fighters?char=w&page=all","Greg","Wilson","","--","155 lbs.","--","","2","3","0",""
"1627323416-14502","http://ufcstats.com/statistics/fighters?char=w&page=all","Christian","Wellisch","The Hungarian Nightmare","6' 2""","234 lbs.","77.0""","Orthodox","8","5","0",""
"1627323416-14450","http://ufcstats.com/statistics/fighters?char=w&page=all","Chris","Wade","","5' 10""","155 lbs.","70.0""","Orthodox","12","3","0",""
"1627323416-14475","http://ufcstats.com/statistics/fighters?char=w&page=all","Charlie","Ward","","5' 11""","170 lbs.","--","Orthodox","3","3","0",""
"1627323416-14537","http://ufcstats.com/statistics/fighters?char=w&page=all","Cole","Williams","Havoc","6' 0""","170 lbs.","73.0""","Orthodox","11","3","0",""
"1627323416-14566","http://ufcstats.com/statistics/fighters?char=w&page=all","JW","Wright","","--","130 lbs.","--","","1","0","0",""
