web-scraper-order,web-scraper-start-url,First,Last,Nickname,Height,Weight,Reach,Stance,Wins,Losses,Draws,Belt
"1627323549-14575","http://ufcstats.com/statistics/fighters?char=y&page=all","Eddie","Yagin","The Filipino Phenom","5' 7""","145 lbs.","--","Orthodox","16","7","1",""
"1627323549-14588","http://ufcstats.com/statistics/fighters?char=y&page=all","Adam","Yandiev","Boroda","5' 9""","185 lbs.","74.0""","Orthodox","9","1","0",""
"1627323549-14590","http://ufcstats.com/statistics/fighters?char=y&page=all","Dongi","Yang","The Ox","5' 10""","185 lbs.","73.0""","Southpaw","13","3","0",""
"1627323549-14613","http://ufcstats.com/statistics/fighters?char=y&page=all","Han Ten","Yun","","5' 11""","220 lbs.","--","","0","1","0",""
"1627323549-14586","http://ufcstats.com/statistics/fighters?char=y&page=all","Yan","Xiaonan","","5' 5""","115 lbs.","63.0""","Orthodox","13","2","0",""
"1627323549-14581","http://ufcstats.com/statistics/fighters?char=y&page=all","Atsushi","Yamamoto","","5' 6""","139 lbs.","--","Orthodox","19","11","3",""
"1627323549-14585","http://ufcstats.com/statistics/fighters?char=y&page=all","Takeshi","Yamazaki","","5' 8""","139 lbs.","--","Southpaw","15","12","3",""
"1627323549-14594","http://ufcstats.com/statistics/fighters?char=y&page=all","Cale","Yarbrough","","6' 1""","185 lbs.","--","Orthodox","8","3","0",""
"1627323549-14573","http://ufcstats.com/statistics/fighters?char=y&page=all","","null","null","null","null","null","null","null","null","null","null"
"1627323549-14592","http://ufcstats.com/statistics/fighters?char=y&page=all","Masutatsu","Yano","","5' 9""","198 lbs.","--","Orthodox","2","4","1",""
"1627323549-14610","http://ufcstats.com/statistics/fighters?char=y&page=all","Shane","Young","Smokin'","5' 8""","145 lbs.","72.0""","Orthodox","13","6","0",""
"1627323549-14579","http://ufcstats.com/statistics/fighters?char=y&page=all","Kenichi","Yamamoto","","6' 0""","170 lbs.","--","Orthodox","5","12","2",""
"1627323549-14578","http://ufcstats.com/statistics/fighters?char=y&page=all","Keiichiro","Yamamiya","","5' 11""","185 lbs.","--","Southpaw","45","35","10",""
"1627323549-14602","http://ufcstats.com/statistics/fighters?char=y&page=all","Sanghoon","Yoo","Assassin","6' 0""","155 lbs.","74.0""","Orthodox","5","1","0",""
"1627323549-14593","http://ufcstats.com/statistics/fighters?char=y&page=all","Emmanuel","Yarborough","","6' 8""","770 lbs.","--","Open Stance","1","2","0",""
"1627323549-14605","http://ufcstats.com/statistics/fighters?char=y&page=all","Hidehiko","Yoshida","","5' 11""","225 lbs.","--","Orthodox","6","8","1",""
"1627323549-14580","http://ufcstats.com/statistics/fighters?char=y&page=all","Yoshihisa","Yamamoto","","6' 2""","220 lbs.","--","Southpaw","14","25","1",""
"1627323549-14596","http://ufcstats.com/statistics/fighters?char=y&page=all","Yoshiaki","Yatsu","","6' 1""","165 lbs.","--","Orthodox","0","2","0",""
"1627323549-14595","http://ufcstats.com/statistics/fighters?char=y&page=all","Tadao","Yasuda","","6' 4""","310 lbs.","--","Orthodox","2","4","0",""
"1627323549-14616","http://ufcstats.com/statistics/fighters?char=y&page=all","Gilbert","Yvel","The Hurricane","6' 2""","225 lbs.","77.0""","Orthodox","39","16","1",""
