web-scraper-order,web-scraper-start-url,First,Last,Nickname,Height,Weight,Reach,Stance,Wins,Losses,Draws,Belt
"1627323603-14622","http://ufcstats.com/statistics/fighters?char=z&page=all","Youssef","Zalal","The Moroccan Devil","5' 10""","145 lbs.","72.0""","Switch","10","5","0",""
"1627323603-14642","http://ufcstats.com/statistics/fighters?char=z&page=all","Errol","Zimmerman","The Bonecrusher","6' 3""","185 lbs.","--","Orthodox","0","1","0",""
"1627323603-14644","http://ufcstats.com/statistics/fighters?char=z&page=all","Igor","Zinoviev","Houdini","6' 1""","199 lbs.","--","Orthodox","4","1","2",""
"1627323603-14640","http://ufcstats.com/statistics/fighters?char=z&page=all","Mike","Zichelle","","--","205 lbs.","--","","8","4","0",""
"1627323603-14631","http://ufcstats.com/statistics/fighters?char=z&page=all","Roman","Zentsov","The Russian Hammer","6' 1""","230 lbs.","--","Orthodox","18","12","0",""
"1627323603-14625","http://ufcstats.com/statistics/fighters?char=z&page=all","Roger","Zapata","Viva","5' 11""","170 lbs.","--","Southpaw","4","2","0",""
"1627323603-14641","http://ufcstats.com/statistics/fighters?char=z&page=all","James","Zikic","The Messenger","6' 2""","205 lbs.","--","Orthodox","21","10","2",""
"1627323603-14632","http://ufcstats.com/statistics/fighters?char=z&page=all","Carlos","Zevallos","","6' 0""","205 lbs.","--","Orthodox","3","4","0",""
"1627323603-14639","http://ufcstats.com/statistics/fighters?char=z&page=all","Fares","Ziam","Smile Killer","6' 1""","155 lbs.","75.0""","Orthodox","12","3","0",""
"1627323603-14648","http://ufcstats.com/statistics/fighters?char=z&page=all","Allan","Zuniga","Tigre","5' 7""","155 lbs.","70.0""","Orthodox","13","1","0",""
"1627323603-14636","http://ufcstats.com/statistics/fighters?char=z&page=all","Zhifa","Shang","","5' 6""","125 lbs.","--","","22","7","0",""
"1627323603-14628","http://ufcstats.com/statistics/fighters?char=z&page=all","Joao","Zeferino","The Brazilian Samurai","5' 11""","170 lbs.","--","Orthodox","21","9","0",""
"1627323603-14617","http://ufcstats.com/statistics/fighters?char=z&page=all","","null","null","null","null","null","null","null","null","null","null"
"1627323603-14637","http://ufcstats.com/statistics/fighters?char=z&page=all","Yao","Zhikui","The Conqueror","5' 5""","125 lbs.","64.0""","Orthodox","2","4","0",""
"1627323603-14620","http://ufcstats.com/statistics/fighters?char=z&page=all","Aiemann","Zahabi","","5' 8""","135 lbs.","68.0""","Orthodox","8","2","0",""
"1627323603-14649","http://ufcstats.com/statistics/fighters?char=z&page=all","Virgil","Zwicker","RezDog","6' 2""","205 lbs.","74.0""","","15","6","1",""
"1627323603-14629","http://ufcstats.com/statistics/fighters?char=z&page=all","Daniel","Zellhuber","Golden Boy","6' 1""","155 lbs.","--","","10","0","0",""
"1627323603-14647","http://ufcstats.com/statistics/fighters?char=z&page=all","George","Zuniga","","5' 9""","185 lbs.","--","","3","1","0",""
"1627323603-14634","http://ufcstats.com/statistics/fighters?char=z&page=all","Zhang","Lipeng","The Warrior","5' 11""","155 lbs.","71.0""","Southpaw","23","9","1",""
"1627323603-14627","http://ufcstats.com/statistics/fighters?char=z&page=all","David","Zawada","Sagat","6' 0""","170 lbs.","75.0""","Orthodox","17","6","0",""
"1627323603-14645","http://ufcstats.com/statistics/fighters?char=z&page=all","Dave","Zitanick","","--","170 lbs.","--","","5","7","0",""
"1627323603-14619","http://ufcstats.com/statistics/fighters?char=z&page=all","Anton","Zafir","The Professor","5' 11""","170 lbs.","--","Orthodox","7","3","0",""
"1627323603-14624","http://ufcstats.com/statistics/fighters?char=z&page=all","Zach","Zane","The Hurricane","5' 7""","145 lbs.","69.0""","Southpaw","10","7","0",""
"1627323603-14643","http://ufcstats.com/statistics/fighters?char=z&page=all","Cat","Zingano","Alpha","5' 6""","145 lbs.","68.0""","Southpaw","10","4","0",""
"1627323603-14638","http://ufcstats.com/statistics/fighters?char=z&page=all","Zhalgas","Zhumagulov","","5' 4""","125 lbs.","66.0""","Switch","14","5","0",""
"1627323603-14621","http://ufcstats.com/statistics/fighters?char=z&page=all","Joao","Zaiden","","--","205 lbs.","--","","10","3","0",""
"1627323603-14630","http://ufcstats.com/statistics/fighters?char=z&page=all","Craig","Zellner","Big Z","6' 2""","205 lbs.","--","Orthodox","4","3","0",""
"1627323603-14633","http://ufcstats.com/statistics/fighters?char=z&page=all","Zhang","Tiequan","The Wolf","5' 8""","155 lbs.","69.0""","Orthodox","15","4","0",""
"1627323603-14618","http://ufcstats.com/statistics/fighters?char=z&page=all","Luke","Zachrich","","6' 2""","185 lbs.","74.0""","Orthodox","14","4","0",""
"1627323603-14646","http://ufcstats.com/statistics/fighters?char=z&page=all","Alex","Zuniga","","--","145 lbs.","--","","6","3","0",""
"1627323603-14635","http://ufcstats.com/statistics/fighters?char=z&page=all","Zhang","Weili","Magnum","5' 4""","115 lbs.","63.0""","Switch","21","2","0",""
"1627323603-14623","http://ufcstats.com/statistics/fighters?char=z&page=all","Elizeu","Zaleski dos Santos","Capoeira","5' 11""","170 lbs.","73.0""","Orthodox","22","7","0",""
"1627323603-14626","http://ufcstats.com/statistics/fighters?char=z&page=all","Marius","Zaromskis","The Whitemare","5' 9""","170 lbs.","--","Orthodox","20","9","0",""
